x,y
0,0
0.5,0.135
1,0.269998
1.5,0.404992
2,0.539981
2.5,0.674963
3,0.809936
3.5,0.944898
4,1.07985
4.5,1.21478
5,1.3497
5.5,1.48461
6,1.61949
6.5,1.75435
7,1.88919
7.5,2.024
8,2.15878
8.5,2.29354
9,2.42827
9.5,2.56297
10,2.69763
10.5,2.83225
11,2.96684
11.5,3.10139
12,3.2359
12.5,3.37037
13,3.50479
13.5,3.63917
14,3.7735
14.5,3.90778
15,4.04201
15.5,4.17618
16,4.3103
16.5,4.44437
17,4.57837
17.5,4.71232
18,4.8462
18.5,4.98002
19,5.11378
19.5,5.24747
20,5.38109
20.5,5.51464
21,5.64812
21.5,5.78152
22,5.91485
22.5,6.04811
23,6.18128
23.5,6.31438
24,6.44739
24.5,6.58032
25,6.71316
25.5,6.84592
26,6.97859
26.5,7.11117
27,7.24365
27.5,7.37604
28,7.50834
28.5,7.64054
29,7.77265
29.5,7.90465
30,8.03655
30.5,8.16835
31,8.30004
31.5,8.43163
32,8.56311
32.5,8.69448
33,8.82573
33.5,8.95688
34,9.08791
34.5,9.21883
35,9.34962
35.5,9.4803
36,9.61086
36.5,9.7413
37,9.87161
37.5,10.0018
38,10.1319
38.5,10.2618
39,10.3916
39.5,10.5213
40,10.6508
40.5,10.7802
41,10.9095
41.5,11.0386
42,11.1676
42.5,11.2965
43,11.4252
43.5,11.5538
44,11.6822
44.5,11.8105
45,11.9386
45.5,12.0666
46,12.1945
46.5,12.3222
47,12.4497
47.5,12.5771
48,12.7043
48.5,12.8314
49,12.9583
49.5,13.0851
50,13.2117
50.5,13.3381
51,13.4644
51.5,13.5905
52,13.7164
52.5,13.8422
53,13.9678
53.5,14.0933
54,14.2185
54.5,14.3436
55,14.4686
55.5,14.5933
56,14.7179
56.5,14.8423
57,14.9665
57.5,15.0906
58,15.2144
58.5,15.3381
59,15.4616
59.5,15.5849
60,15.708
60.5,15.831
61,15.9538
61.5,16.0763
62,16.1987
62.5,16.3209
63,16.4429
63.5,16.5647
64,16.6863
64.5,16.8078
65,16.929
65.5,17.05
66,17.1709
66.5,17.2915
67,17.4119
67.5,17.5322
68,17.6522
68.5,17.7721
69,17.8917
69.5,18.0111
70,18.1303
70.5,18.2494
71,18.3682
71.5,18.4868
72,18.6052
72.5,18.7234
73,18.8413
73.5,18.9591
74,19.0767
74.5,19.194
75,19.3111
75.5,19.428
76,19.5447
76.5,19.6612
77,19.7775
77.5,19.8935
78,20.0094
78.5,20.125
79,20.2404
79.5,20.3555
80,20.4705
80.5,20.5852
81,20.6997
81.5,20.814
82,20.9281
82.5,21.0419
83,21.1555
83.5,21.2689
84,21.3821
84.5,21.495
85,21.6077
85.5,21.7202
86,21.8324
86.5,21.9444
87,22.0562
87.5,22.1678
88,22.2791
88.5,22.3902
89,22.5011
89.5,22.6117
90,22.7221
90.5,22.8323
91,22.9422
91.5,23.0519
92,23.1614
92.5,23.2706
93,23.3796
93.5,23.4884
94,23.5969
94.5,23.7052
95,23.8132
95.5,23.921
96,24.0286
96.5,24.1359
97,24.243
97.5,24.3499
98,24.4565
98.5,24.5629
99,24.669
99.5,24.7749
100,24.8806
100.5,24.986
101,25.0912
101.5,25.1961
102,25.3008
102.5,25.4052
103,25.5094
103.5,25.6134
104,25.7171
104.5,25.8206
105,25.9239
105.5,26.0269
106,26.1296
106.5,26.2321
107,26.3344
107.5,26.4364
108,26.5382
108.5,26.6397
109,26.741
109.5,26.8421
110,26.9429
110.5,27.0434
111,27.1437
111.5,27.2438
112,27.3436
112.5,27.4432
113,27.5425
113.5,27.6416
114,27.7405
114.5,27.8391
115,27.9374
115.5,28.0356
116,28.1334
116.5,28.2311
117,28.3284
117.5,28.4256
118,28.5225
118.5,28.6191
119,28.7155
119.5,28.8117
120,28.9076
120.5,29.0033
121,29.0987
121.5,29.1939
122,29.2888
122.5,29.3835
123,29.478
123.5,29.5722
124,29.6661
124.5,29.7599
125,29.8533
125.5,29.9466
126,30.0396
126.5,30.1323
127,30.2248
127.5,30.3171
128,30.4091
128.5,30.5009
129,30.5925
129.5,30.6838
130,30.7748
130.5,30.8656
131,30.9562
131.5,31.0466
132,31.1367
132.5,31.2265
133,31.3161
133.5,31.4055
134,31.4947
134.5,31.5836
135,31.6722
135.5,31.7607
136,31.8489
136.5,31.9368
137,32.0245
137.5,32.112
138,32.1993
138.5,32.2863
139,32.373
139.5,32.4596
140,32.5459
140.5,32.6319
141,32.7178
141.5,32.8034
142,32.8887
142.5,32.9739
143,33.0588
143.5,33.1434
144,33.2279
144.5,33.3121
145,33.396
145.5,33.4798
146,33.5633
146.5,33.6465
147,33.7296
147.5,33.8124
148,33.895
148.5,33.9774
149,34.0595
149.5,34.1414
150,34.2231
150.5,34.3045
151,34.3857
151.5,34.4667
152,34.5475
152.5,34.628
153,34.7084
153.5,34.7884
154,34.8683
154.5,34.948
155,35.0274
155.5,35.1066
156,35.1856
156.5,35.2643
157,35.3429
157.5,35.4212
158,35.4993
158.5,35.5771
159,35.6548
159.5,35.7322
160,35.8094
160.5,35.8864
161,35.9632
161.5,36.0398
162,36.1161
162.5,36.1922
163,36.2681
163.5,36.3438
164,36.4193
164.5,36.4946
165,36.5696
165.5,36.6445
166,36.7191
166.5,36.7935
167,36.8677
167.5,36.9417
168,37.0155
168.5,37.089
169,37.1624
169.5,37.2355
170,37.3085
170.5,37.3812
171,37.4537
171.5,37.526
172,37.5981
172.5,37.67
173,37.7417
173.5,37.8132
174,37.8845
174.5,37.9555
175,38.0264
175.5,38.097
176,38.1675
176.5,38.2378
177,38.3078
177.5,38.3776
178,38.4473
178.5,38.5167
179,38.586
179.5,38.655
180,38.7238
180.5,38.7925
181,38.8609
181.5,38.9291
182,38.9972
182.5,39.065
183,39.1326
183.5,39.2001
184,39.2673
184.5,39.3344
185,39.4012
185.5,39.4679
186,39.5343
186.5,39.6006
187,39.6666
187.5,39.7325
188,39.7982
188.5,39.8636
189,39.9289
189.5,39.994
190,40.0589
190.5,40.1236
191,40.1881
191.5,40.2525
192,40.3166
192.5,40.3805
193,40.4443
193.5,40.5078
194,40.5712
194.5,40.6343
195,40.6973
195.5,40.7601
196,40.8227
196.5,40.8851
197,40.9474
197.5,41.0094
198,41.0712
198.5,41.1329
199,41.1944
199.5,41.2557
200,41.3167
200.5,41.3777
201,41.4384
201.5,41.4989
202,41.5593
202.5,41.6194
203,41.6794
203.5,41.7392
204,41.7988
204.5,41.8582
205,41.9174
205.5,41.9765
206,42.0353
206.5,42.094
207,42.1525
207.5,42.2108
208,42.2689
208.5,42.3269
209,42.3846
209.5,42.4422
210,42.4996
210.5,42.5568
211,42.6138
211.5,42.6706
212,42.7273
212.5,42.7838
213,42.84
213.5,42.8961
214,42.9521
214.5,43.0078
215,43.0633
215.5,43.1187
216,43.1739
216.5,43.2289
217,43.2837
217.5,43.3383
218,43.3928
218.5,43.4471
219,43.5011
219.5,43.555
220,43.6088
220.5,43.6623
221,43.7157
221.5,43.7688
222,43.8218
222.5,43.8746
223,43.9272
223.5,43.9797
224,44.0319
224.5,44.084
225,44.1358
225.5,44.1875
226,44.2391
226.5,44.2904
227,44.3415
227.5,44.3925
228,44.4433
228.5,44.4939
229,44.5443
229.5,44.5945
230,44.6445
230.5,44.6944
231,44.744
231.5,44.7935
232,44.8428
232.5,44.8919
233,44.9408
233.5,44.9895
234,45.0381
234.5,45.0864
235,45.1346
235.5,45.1825
236,45.2303
236.5,45.2779
237,45.3253
237.5,45.3726
238,45.4196
238.5,45.4664
239,45.5131
239.5,45.5595
240,45.6058
240.5,45.6519
241,45.6977
241.5,45.7434
242,45.7889
242.5,45.8342
243,45.8793
243.5,45.9243
244,45.969
244.5,46.0135
245,46.0578
245.5,46.102
246,46.1459
246.5,46.1897
247,46.2332
247.5,46.2765
248,46.3197
248.5,46.3627
249,46.4054
249.5,46.448
250,46.4903
250.5,46.5325
251,46.5744
251.5,46.6162
252,46.6577
252.5,46.699
253,46.7402
253.5,46.7811
254,46.8219
254.5,46.8624
255,46.9027
255.5,46.9428
256,46.9827
256.5,47.0224
257,47.0619
257.5,47.1012
258,47.1403
258.5,47.1791
259,47.2178
259.5,47.2562
260,47.2945
260.5,47.3325
261,47.3703
261.5,47.4079
262,47.4452
262.5,47.4824
263,47.5193
263.5,47.5561
264,47.5926
264.5,47.6289
265,47.6649
265.5,47.7008
266,47.7364
266.5,47.7718
267,47.807
267.5,47.842
268,47.8767
268.5,47.9112
269,47.9455
269.5,47.9796
270,48.0134
270.5,48.047
271,48.0804
271.5,48.1135
272,48.1465
272.5,48.1792
273,48.2116
273.5,48.2438
274,48.2758
274.5,48.3076
275,48.3391
275.5,48.3704
276,48.4014
276.5,48.4323
277,48.4628
277.5,48.4932
278,48.5233
278.5,48.5531
279,48.5827
279.5,48.6121
280,48.6412
280.5,48.6701
281,48.6987
281.5,48.7271
282,48.7553
282.5,48.7831
283,48.8108
283.5,48.8382
284,48.8653
284.5,48.8922
285,48.9188
285.5,48.9452
286,48.9713
286.5,48.9972
287,49.0228
287.5,49.0482
288,49.0733
288.5,49.0981
289,49.1227
289.5,49.147
290,49.171
290.5,49.1948
291,49.2184
291.5,49.2416
292,49.2646
292.5,49.2873
293,49.3098
293.5,49.332
294,49.3539
294.5,49.3755
295,49.3969
295.5,49.418
296,49.4388
296.5,49.4593
297,49.4796
297.5,49.4996
298,49.5193
298.5,49.5387
299,49.5579
299.5,49.5767
300,49.5953
300.5,49.6136
301,49.6317
301.5,49.6494
302,49.6668
302.5,49.684
303,49.7009
303.5,49.7174
304,49.7337
304.5,49.7497
305,49.7654
305.5,49.7808
306,49.7959
306.5,49.8108
307,49.8253
307.5,49.8395
308,49.8534
308.5,49.867
309,49.8804
309.5,49.8934
310,49.9061
310.5,49.9185
311,49.9306
311.5,49.9424
312,49.9539
312.5,49.9651
313,49.976
313.5,49.9865
314,49.9968
314.5,50.0067
315,50.0164
315.5,50.0257
316,50.0347
316.5,50.0434
317,50.0517
317.5,50.0598
318,50.0675
318.5,50.0749
319,50.082
319.5,50.0888
320,50.0952
320.5,50.1013
321,50.1071
321.5,50.1126
322,50.1178
322.5,50.1226
323,50.1271
323.5,50.1312
324,50.135
324.5,50.1385
325,50.1417
325.5,50.1445
326,50.147
326.5,50.1492
327,50.151
327.5,50.1525
328,50.1536
328.5,50.1544
329,50.1549
329.5,50.155
330,50.1548
330.5,50.1542
331,50.1533
331.5,50.1521
332,50.1505
332.5,50.1486
333,50.1463
333.5,50.1436
334,50.1407
334.5,50.1373
335,50.1336
335.5,50.1296
336,50.1252
336.5,50.1205
337,50.1154
337.5,50.1099
338,50.1041
338.5,50.098
339,50.0915
339.5,50.0846
340,50.0774
340.5,50.0698
341,50.0618
341.5,50.0535
342,50.0448
342.5,50.0358
343,50.0264
343.5,50.0166
344,50.0065
344.5,49.996
345,49.9851
345.5,49.9739
346,49.9623
346.5,49.9504
347,49.938
347.5,49.9253
348,49.9123
348.5,49.8988
349,49.885
349.5,49.8708
350,49.8563
350.5,49.8414
351,49.8261
351.5,49.8104
352,49.7943
352.5,49.7779
353,49.7611
353.5,49.7439
354,49.7264
354.5,49.7084
355,49.6901
355.5,49.6714
356,49.6523
356.5,49.6329
357,49.6131
357.5,49.5928
358,49.5723
358.5,49.5513
359,49.5299
359.5,49.5082
360,49.486
360.5,49.4635
361,49.4406
361.5,49.4174
362,49.3937
362.5,49.3697
363,49.3452
363.5,49.3204
364,49.2952
364.5,49.2696
365,49.2436
365.5,49.2173
366,49.1905
366.5,49.1634
367,49.1358
367.5,49.1079
368,49.0796
368.5,49.0509
369,49.0218
369.5,48.9923
370,48.9625
370.5,48.9322
371,48.9016
371.5,48.8705
372,48.8391
372.5,48.8073
373,48.7751
373.5,48.7425
374,48.7095
374.5,48.6761
375,48.6423
375.5,48.6081
376,48.5736
376.5,48.5386
377,48.5033
377.5,48.4675
378,48.4314
378.5,48.3949
379,48.3579
379.5,48.3206
380,48.2829
380.5,48.2448
381,48.2063
381.5,48.1675
382,48.1282
382.5,48.0885
383,48.0485
383.5,48.008
384,47.9672
384.5,47.9259
385,47.8843
385.5,47.8423
386,47.7999
386.5,47.7571
387,47.7139
387.5,47.6703
388,47.6263
388.5,47.582
389,47.5372
389.5,47.4921
390,47.4465
390.5,47.4006
391,47.3543
391.5,47.3076
392,47.2605
392.5,47.213
393,47.1651
393.5,47.1169
394,47.0682
394.5,47.0192
395,46.9697
395.5,46.9199
396,46.8697
396.5,46.8191
397,46.7682
397.5,46.7168
398,46.6651
398.5,46.6129
399,46.5604
399.5,46.5075
400,46.4542
400.5,46.4006
401,46.3465
401.5,46.2921
402,46.2373
402.5,46.1821
403,46.1265
403.5,46.0706
404,46.0142
404.5,45.9575
405,45.9004
405.5,45.843
406,45.7851
406.5,45.7269
407,45.6683
407.5,45.6093
408,45.55
408.5,45.4903
409,45.4302
409.5,45.3697
410,45.3088
410.5,45.2476
411,45.1861
411.5,45.1241
412,45.0618
412.5,44.9991
413,44.936
413.5,44.8726
414,44.8088
414.5,44.7447
415,44.6801
415.5,44.6153
416,44.55
416.5,44.4844
417,44.4184
417.5,44.3521
418,44.2854
418.5,44.2184
419,44.151
419.5,44.0832
420,44.0151
420.5,43.9466
421,43.8778
421.5,43.8086
422,43.739
422.5,43.6692
423,43.5989
423.5,43.5283
424,43.4574
424.5,43.3861
425,43.3145
425.5,43.2425
426,43.1702
426.5,43.0975
427,43.0245
427.5,42.9512
428,42.8775
428.5,42.8034
429,42.7291
429.5,42.6544
430,42.5793
430.5,42.504
431,42.4283
431.5,42.3522
432,42.2758
432.5,42.1991
433,42.1221
433.5,42.0447
434,41.9671
434.5,41.889
435,41.8107
435.5,41.732
436,41.6531
436.5,41.5738
437,41.4941
437.5,41.4142
438,41.3339
438.5,41.2534
439,41.1725
439.5,41.0913
440,41.0097
440.5,40.9279
441,40.8458
441.5,40.7633
442,40.6806
442.5,40.5975
443,40.5141
443.5,40.4305
444,40.3465
444.5,40.2622
445,40.1777
445.5,40.0928
446,40.0076
446.5,39.9222
447,39.8364
447.5,39.7504
448,39.664
448.5,39.5774
449,39.4905
449.5,39.4033
450,39.3158
450.5,39.228
451,39.1399
451.5,39.0516
452,38.963
452.5,38.8741
453,38.7849
453.5,38.6955
454,38.6057
454.5,38.5157
455,38.4255
455.5,38.3349
456,38.2441
456.5,38.153
457,38.0617
457.5,37.9701
458,37.8782
458.5,37.7861
459,37.6937
459.5,37.6011
460,37.5082
460.5,37.415
461,37.3216
461.5,37.2279
462,37.134
462.5,37.0398
463,36.9454
463.5,36.8508
464,36.7558
464.5,36.6607
465,36.5653
465.5,36.4697
466,36.3738
466.5,36.2777
467,36.1814
467.5,36.0848
468,35.988
468.5,35.8909
469,35.7937
469.5,35.6962
470,35.5984
470.5,35.5005
471,35.4023
471.5,35.3039
472,35.2053
472.5,35.1065
473,35.0074
473.5,34.9082
474,34.8087
474.5,34.709
475,34.6091
475.5,34.509
476,34.4087
476.5,34.3081
477,34.2074
477.5,34.1065
478,34.0054
478.5,33.904
479,33.8025
479.5,33.7008
480,33.5988
480.5,33.4967
481,33.3944
481.5,33.2919
482,33.1892
482.5,33.0863
483,32.9833
483.5,32.88
484,32.7766
484.5,32.673
485,32.5692
485.5,32.4652
486,32.3611
486.5,32.2568
487,32.1523
487.5,32.0476
488,31.9428
488.5,31.8378
489,31.7326
489.5,31.6273
490,31.5218
490.5,31.4161
491,31.3103
491.5,31.2043
492,31.0981
492.5,30.9918
493,30.8854
493.5,30.7788
494,30.672
494.5,30.5651
495,30.458
495.5,30.3508
496,30.2435
496.5,30.136
497,30.0283
497.5,29.9206
498,29.8126
498.5,29.7046
499,29.5964
499.5,29.4881
500,29.3796
