t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05, 3.99834, 0.0999797, 0.0075, 0, 7.03026e-05, 0.0234299, 0.15, 0.468598
0.1, 4.00583, 0.100355, 0.0225, 1.05454e-06, 0.00024621, 0.0293094, 0.3, 0.11759
0.15, 4.02081, 0.101107, 0.045, 6.59426e-06, 0.000523413, 0.0307906, 0.45, 0.0296229
0.2, 4.04328, 0.102241, 0.075, 2.22966e-05, 0.000897521, 0.0311656, 0.6, 0.00749993
0.25, 4.07324, 0.103763, 0.1125, 5.59537e-05, 0.0013666, 0.0312618, 0.75, 0.00192337
0.3, 4.1107, 0.105681, 0.1575, 0.000117451, 0.00192997, 0.0312879, 0.9, 0.000522654
0.35, 4.15564, 0.108006, 0.21, 0.000218774, 0.00258742, 0.031297, 1.05, 0.000181795
0.4, 4.20806, 0.11075, 0.27, 0.000374019, 0.00333892, 0.0313026, 1.2, 0.0001128
0.45, 4.26798, 0.113929, 0.337499, 0.000599396, 0.00418453, 0.0313084, 1.35, 0.000115434
0.5, 4.33538, 0.117558, 0.412499, 0.000913234, 0.00512429, 0.0313153, 1.5, 0.000138389
0.55, 4.41027, 0.121658, 0.494998, 0.00133599, 0.00615831, 0.0313237, 1.65, 0.000168209
0.6, 4.49264, 0.126248, 0.584996, 0.00189023, 0.0072867, 0.0313338, 1.8, 0.000201075
0.65, 4.5825, 0.131353, 0.682493, 0.00260068, 0.00850958, 0.0313455, 1.95, 0.000235607
0.7, 4.67983, 0.136997, 0.787489, 0.00349417, 0.00982709, 0.0313591, 2.1, 0.000270993
0.75, 4.78465, 0.143208, 0.899984, 0.0045997, 0.0112394, 0.0313744, 2.25, 0.000306566
0.8, 4.89694, 0.150016, 1.01998, 0.0059484, 0.0127467, 0.0313915, 2.4, 0.000341694
0.85, 5.01671, 0.157451, 1.14747, 0.00757356, 0.0143491, 0.0314103, 2.55, 0.000375749
0.9, 5.14396, 0.165548, 1.28245, 0.00951063, 0.016047, 0.0314307, 2.7, 0.000408116
0.95, 5.27867, 0.174342, 1.42493, 0.0117972, 0.0178404, 0.0314526, 2.85, 0.000438213
1, 5.42085, 0.183871, 1.57491, 0.0144731, 0.0197295, 0.0314759, 3, 0.00046547
1.05, 5.5705, 0.194176, 1.73238, 0.0175803, 0.0217147, 0.0315004, 3.15, 0.000489337
1.1, 5.7276, 0.205298, 1.89734, 0.021163, 0.0237961, 0.0315258, 3.3, 0.000509115
1.15, 5.89217, 0.217281, 2.06979, 0.0252674, 0.0259739, 0.031552, 3.45, 0.000524047
1.2, 6.06419, 0.230171, 2.24973, 0.0299422, 0.0282483, 0.0315787, 3.6, 0.000533579
1.25, 6.24365, 0.244017, 2.43716, 0.0352381, 0.0306195, 0.0316056, 3.75, 0.000537924
1.3, 6.43057, 0.25887, 2.63206, 0.0412079, 0.0330877, 0.0316325, 3.9, 0.000537923
1.35, 6.62492, 0.274781, 2.83445, 0.047907, 0.035653, 0.0316592, 4.05, 0.000533778
1.4, 6.8267, 0.291806, 3.04432, 0.0553925, 0.0383154, 0.0316854, 4.2, 0.000523613
1.45, 7.03591, 0.310001, 3.26166, 0.0637241, 0.0410752, 0.0317106, 4.35, 0.000505473
1.5, 7.25254, 0.329424, 3.48647, 0.0729634, 0.0439322, 0.0317346, 4.5, 0.000480239
