t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05, 3.27425, 2.29727, 0.01, 0, 0.000100021, 0.025, 0.2, 0.5
0.1, 3.28118, 2.30188, 0.03, 2.00042e-06, 0.000500355, 0.05, 0.4, 0.5
0.15, 3.29505, 2.3111, 0.06, 1.70111e-05, 0.00140205, 0.075, 0.6, 0.5
0.2, 3.31587, 2.32493, 0.1, 7.30929e-05, 0.0030074, 0.1, 0.8, 0.5
0.25, 3.34367, 2.34336, 0.15, 0.000223463, 0.0055205, 0.125, 1, 0.5
0.3, 3.37849, 2.36642, 0.209999, 0.000554691, 0.00914775, 0.15, 1.2, 0.5
0.35, 3.42039, 2.39411, 0.279996, 0.00119502, 0.0140984, 0.175, 1.4, 0.5
0.4, 3.46945, 2.42646, 0.359988, 0.00232286, 0.0205851, 0.2, 1.6, 0.5
0.45, 3.52579, 2.46351, 0.449969, 0.00417539, 0.0288246, 0.225, 1.8, 0.5
0.5, 3.58956, 2.50529, 0.549927, 0.00705745, 0.0390383, 0.25, 2, 0.5
0.55, 3.66092, 2.55189, 0.659844, 0.0113506, 0.0514528, 0.275, 2.2, 0.5
0.6, 3.74009, 2.60336, 0.779685, 0.0175222, 0.066301, 0.3, 2.4, 0.5
0.65, 3.82732, 2.65981, 0.909399, 0.026135, 0.0838223, 0.325, 2.6, 0.5
0.7, 3.92289, 2.72132, 1.04891, 0.0378564, 0.104264, 0.35, 2.8, 0.5
0.75, 4.02714, 2.788, 1.19809, 0.0534676, 0.127881, 0.375, 3, 0.5
0.8, 4.1404, 2.85995, 1.35679, 0.073873, 0.15494, 0.4, 3.2, 0.5
0.85, 4.26307, 2.93728, 1.52475, 0.100108, 0.185716, 0.425, 3.4, 0.5
0.9, 4.39553, 3.02006, 1.70165, 0.133345, 0.220496, 0.45, 3.6, 0.5
0.95, 4.53818, 3.10836, 1.88705, 0.1749, 0.259581, 0.475, 3.8, 0.5
1, 4.69139, 3.20219, 2.08035, 0.226235, 0.303285, 0.5, 4, 0.5
1.05, 4.85549, 3.30147, 2.28077, 0.288953, 0.351939, 0.525, 4.2, 0.5
1.1, 5.03073, 3.40609, 2.48729, 0.364791, 0.402461, 0.521164, 4.4, -0.0767114
1.15, 5.21719, 3.51575, 2.69891, 0.454878, 0.452263, 0.496164, 4.6, -0.5
1.2, 5.41472, 3.63, 2.91478, 0.559759, 0.501169, 0.471164, 4.8, -0.5
