t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05, 0, 0, 0.5, 0, 0.00500104, 0.025, 10, 0.5
0.1, 0.482715, 0.130333, 0.999994, 0.00250051, 0.0147612, 0.0487619, 10, 0.475238
0.15, 0.96543, 0.260664, 1.49994, 0.00988082, 0.0286946, 0.0695549, 10, 0.41586
0.2, 1.44815, 0.390992, 1.99973, 0.0242262, 0.0461878, 0.087244, 10, 0.353782
0.25, 1.93086, 0.521316, 2.4992, 0.0473119, 0.066611, 0.101763, 10, 0.29038
0.3, 2.41358, 0.651634, 2.99809, 0.0805927, 0.0893299, 0.11311, 10, 0.226939
0.35, 2.8963, 0.781944, 3.4961, 0.125198, 0.113718, 0.121342, 10, 0.164645
0.4, 3.37902, 0.912245, 3.99287, 0.181935, 0.139168, 0.12657, 10, 0.104564
0.45, 3.86175, 1.04254, 4.48803, 0.251295, 0.165103, 0.128952, 10, 0.0476387
0.5, 4.34448, 1.17281, 4.98123, 0.333472, 0.190983, 0.128686, 10, -0.00532568
0.55, 4.82721, 1.30308, 5.47214, 0.428384, 0.216318, 0.126003, 10, -0.0536652
0.6, 5.30995, 1.43333, 5.96049, 0.535701, 0.240669, 0.12116, 10, -0.0968601
0.65, 5.79269, 1.56357, 6.44608, 0.654877, 0.263656, 0.114433, 10, -0.134534
0.7, 6.27544, 1.69378, 6.9288, 0.785183, 0.284958, 0.106111, 10, -0.166448
0.75, 6.75819, 1.82398, 7.40864, 0.925742, 0.304315, 0.0964858, 10, -0.192498
0.8, 7.24094, 1.95415, 7.88567, 1.07556, 0.321528, 0.0858509, 10, -0.212698
0.85, 7.72371, 2.08431, 8.36004, 1.23357, 0.336454, 0.0744921, 10, -0.227176
0.9, 8.20648, 2.21444, 8.83201, 1.39864, 0.349007, 0.0626842, 10, -0.236157
0.95, 8.68925, 2.34454, 9.30186, 1.56962, 0.359153, 0.0506868, 10, -0.239948
1, 9.17204, 2.47462, 9.76996, 1.74536, 0.366905, 0.0387404, 10, -0.238929
1.05, 9.65483, 2.60467, 10.2367, 1.92473, 0.372319, 0.0270637, 10, -0.233534
1.1, 10.1376, 2.73469, 10.7024, 2.10662, 0.37549, 0.0158515, 10, -0.224243
1.15, 10.6204, 2.86468, 11.1676, 2.28998, 0.376545, 0.00527337, 10, -0.211563
1.2, 11.1033, 2.99463, 11.6326, 2.47384, 0.375639, -0.00452776, 10, -0.196023
1.25, 11.5861, 3.12455, 12.0977, 2.65727, 0.372952, -0.0134355, 10, -0.178155
1.3, 12.0689, 3.25444, 12.5633, 2.83945, 0.368679, -0.0213602, 10, -0.158493
1.35, 12.5518, 3.38429, 13.0297, 3.01964, 0.36303, -0.0282379, 10, -0.137554
1.4, 13.0346, 3.5141, 13.4971, 3.1972, 0.356221, -0.0340298, 10, -0.115838
1.45, 13.5175, 3.64387, 13.9657, 3.37157, 0.348473, -0.0387205, 10, -0.0938146
1.5, 14.0004, 3.77359, 14.4357, 3.5423, 0.340005, -0.0423165, 10, -0.0719201
1.55, 14.4832, 3.90328, 14.9071, 3.70904, 0.33103, -0.0448441, 10, -0.0505516
1.6, 14.9661, 4.03292, 15.3799, 3.87155, 0.321754, -0.0463472, 10, -0.0300627
1.65, 15.4491, 4.16251, 15.8543, 4.02967, 0.31237, -0.0468853, 10, -0.0107605
1.7, 15.932, 4.29206, 16.3301, 4.18333, 0.303057, -0.0465305, 10, 0.00709576
1.75, 16.4149, 4.42156, 16.8073, 4.33255, 0.293978, -0.0453657, 10, 0.0232962
1.8, 16.8979, 4.55101, 17.2858, 4.47743, 0.285276, -0.0434817, 10, 0.0376797
1.85, 17.3808, 4.6804, 17.7656, 4.61814, 0.277077, -0.0409751, 10, 0.0501327
1.9, 17.8638, 4.80974, 18.2466, 4.75491, 0.269484, -0.0379457, 10, 0.0605876
1.95, 18.3468, 4.93903, 18.7285, 4.88803, 0.262582, -0.0344947, 10, 0.06902
2, 18.8298, 5.06826, 19.2114, 5.01781, 0.256436, -0.0307224, 10, 0.0754452
2.05, 19.3129, 5.19744, 19.695, 5.14463, 0.251089, -0.0267267, 10, 0.0799149
2.1, 19.7959, 5.32655, 20.1793, 5.26886, 0.246568, -0.022601, 10, 0.0825128
2.15, 20.279, 5.45561, 20.6642, 5.3909, 0.242881, -0.0184335, 10, 0.0833504
2.2, 20.762, 5.5846, 21.1495, 5.51115, 0.24002, -0.0143054, 10, 0.0825623
2.25, 21.2451, 5.71353, 21.6352, 5.63001, 0.237962, -0.0102903, 10, 0.0803022
2.3, 21.7282, 5.84239, 22.1211, 5.74787, 0.236671, -0.0064534, 10, 0.0767376
2.35, 22.2114, 5.97119, 22.6072, 5.86511, 0.236101, -0.00285108, 10, 0.0720464
2.4, 22.6945, 6.09992, 23.0933, 5.98206, 0.236195, 0.000469523, 10, 0.066412
2.45, 23.1777, 6.22858, 23.5794, 6.09906, 0.236889, 0.00347051, 10, 0.0600198
2.5, 23.6608, 6.35717, 24.0655, 6.2164, 0.238113, 0.00612318, 10, 0.0530533
2.55, 24.144, 6.48569, 24.5514, 6.33434, 0.239795, 0.00840774, 10, 0.0456913
2.6, 24.6273, 6.61414, 25.0371, 6.45309, 0.241858, 0.010313, 10, 0.0381046
2.65, 25.1105, 6.74251, 25.5225, 6.57284, 0.244225, 0.0118356, 10, 0.0304534
2.7, 25.5938, 6.87081, 26.0077, 6.69375, 0.246821, 0.0129799, 10, 0.0228859
2.75, 26.077, 6.99902, 26.4925, 6.81591, 0.249573, 0.0137567, 10, 0.0155358
2.8, 26.5603, 7.12716, 26.977, 6.9394, 0.252409, 0.0141828, 10, 0.00852137
2.85, 27.0437, 7.25522, 27.4612, 7.06427, 0.255265, 0.01428, 10, 0.00194467
2.9, 27.527, 7.3832, 27.945, 7.19052, 0.258081, 0.0140746, 10, -0.00410914
2.95, 28.0104, 7.51109, 28.4284, 7.31813, 0.2608, 0.013596, 10, -0.00957191
3, 28.4938, 7.6389, 28.9115, 7.44706, 0.263375, 0.0128764, 10, -0.0143923
3.05, 28.9772, 7.76662, 29.3943, 7.57723, 0.265765, 0.0119496, 10, -0.0185353
3.1, 29.4606, 7.89425, 29.8767, 7.70856, 0.267936, 0.0108505, 10, -0.0219816
3.15, 29.9441, 8.0218, 30.3589, 7.84093, 0.269858, 0.00961419, 10, -0.0247265
3.2, 30.4276, 8.14926, 30.8408, 7.97422, 0.271514, 0.00827527, 10, -0.0267785
3.25, 30.9111, 8.27662, 31.3225, 8.10832, 0.272887, 0.00686733, 10, -0.0281587
3.3, 31.3946, 8.4039, 31.804, 8.24308, 0.273972, 0.0054224, 10, -0.0288986
3.35, 31.8782, 8.53107, 32.2853, 8.37835, 0.274766, 0.00397044, 10, -0.0290392
3.4, 32.3617, 8.65816, 32.7666, 8.51401, 0.275273, 0.002539, 10, -0.0286289
3.45, 32.8453, 8.78514, 33.2477, 8.64992, 0.275504, 0.00115287, 10, -0.0277224
3.5, 33.329, 8.91203, 33.7289, 8.78594, 0.275471, -0.000166073, 10, -0.026379
3.55, 33.8126, 9.03882, 34.21, 8.92194, 0.275191, -0.00139912, 10, -0.0246608
3.6, 34.2963, 9.16551, 34.6912, 9.0578, 0.274685, -0.00253072, 10, -0.0226321
3.65, 34.78, 9.29209, 35.1725, 9.19342, 0.273975, -0.00354856, 10, -0.0203569
3.7, 35.2638, 9.41858, 35.6538, 9.3287, 0.273086, -0.0044435, 10, -0.0178988
3.75, 35.7475, 9.54495, 36.1353, 9.46356, 0.272044, -0.00520946, 10, -0.0153191
3.8, 36.2313, 9.67122, 36.6169, 9.59791, 0.270876, -0.00584328, 10, -0.0126764
3.85, 36.7151, 9.79739, 37.0987, 9.73169, 0.269607, -0.00634454, 10, -0.0100252
3.9, 37.199, 9.92344, 37.5806, 9.86487, 0.268264, -0.00671532, 10, -0.00741559
3.95, 37.6829, 10.0494, 38.0627, 9.9974, 0.266872, -0.00695996, 10, -0.00489275
4, 38.1668, 10.1752, 38.545, 10.1293, 0.265455, -0.00708477, 10, -0.00249626
4.05, 38.6507, 10.3009, 39.0275, 10.2604, 0.264035, -0.00709777, 10, -0.000260014
4.1, 39.1347, 10.4265, 39.5102, 10.3909, 0.262634, -0.00700837, 10, 0.00178798
4.15, 39.6187, 10.552, 39.993, 10.5207, 0.261268, -0.00682709, 10, 0.00362561
4.2, 40.1027, 10.6774, 40.4761, 10.6499, 0.259955, -0.00656526, 10, 0.00523657
4.25, 40.5868, 10.8027, 40.9593, 10.7784, 0.258708, -0.00623475, 10, 0.00661015
4.3, 41.0708, 10.9278, 41.4426, 10.9063, 0.257539, -0.0058477, 10, 0.007741
4.35, 41.555, 11.0528, 41.9261, 11.0337, 0.256455, -0.00541627, 10, 0.00862873
