t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05, 0, 0, 0.00999688, 0.000249974, 9.99896e-05, 0.025, 0.2, 0.5
0.1, 0.00670235, 0.0048257, 0.0299718, 0.00125155, 0.000499823, 0.05, 0.4, 0.5
0.15, 0.0203325, 0.0146394, 0.0598863, 0.0035144, 0.00139898, 0.075, 0.6, 0.5
0.2, 0.0411069, 0.0295969, 0.0996809, 0.00756341, 0.00299631, 0.1, 0.8, 0.5
0.25, 0.0692354, 0.049849, 0.149272, 0.0139458, 0.00548981, 0.125, 1, 0.5
0.3, 0.104923, 0.0755425, 0.208548, 0.0232376, 0.00907632, 0.15, 1.2, 0.5
0.35, 0.14837, 0.106821, 0.277365, 0.0360503, 0.0139514, 0.175, 1.4, 0.5
0.4, 0.199774, 0.143823, 0.355541, 0.0530361, 0.0203088, 0.2, 1.6, 0.5
0.45, 0.259325, 0.186684, 0.442847, 0.0748932, 0.0283406, 0.225, 1.8, 0.5
0.5, 0.327208, 0.235529, 0.538998, 0.102369, 0.0382368, 0.25, 2, 0.5
0.55, 0.403596, 0.290476, 0.643646, 0.136265, 0.0501848, 0.275, 2.2, 0.5
0.6, 0.488645, 0.351623, 0.756363, 0.177433, 0.0643698, 0.3, 2.4, 0.5
0.65, 0.582489, 0.41905, 0.876632, 0.226782, 0.0809738, 0.325, 2.6, 0.5
0.7, 0.685227, 0.492807, 1.00383, 0.285268, 0.100176, 0.35, 2.8, 0.5
0.75, 0.796917, 0.572906, 1.13721, 0.353892, 0.122152, 0.375, 3, 0.5
0.8, 0.917558, 0.659307, 1.27589, 0.433691, 0.147075, 0.4, 3.2, 0.5
0.85, 1.04707, 0.751911, 1.41882, 0.525726, 0.175113, 0.425, 3.4, 0.5
0.9, 1.1853, 0.850539, 1.56479, 0.63106, 0.206431, 0.45, 3.6, 0.5
0.95, 1.33194, 0.954919, 1.71484, 0.747607, 0.239757, 0.453937, 3.8, 0.0787357
1, 1.48674, 1.06479, 1.87076, 0.872862, 0.273616, 0.437011, 4, -0.338519
1.05, 1.64973, 1.18007, 2.03331, 1.00583, 0.307254, 0.412011, 4.2, -0.5
1.1, 1.82098, 1.3007, 2.20238, 1.14659, 0.340467, 0.387011, 4.4, -0.5
1.15, 2.00051, 1.42658, 2.37793, 1.29519, 0.373049, 0.362011, 4.6, -0.5
1.2, 2.18837, 1.55758, 2.55993, 1.45164, 0.404793, 0.337011, 4.8, -0.5
1.25, 2.3846, 1.69357, 2.7484, 1.61589, 0.435491, 0.312011, 5, -0.5
1.3, 2.58925, 1.8344, 2.93594, 1.7812, 0.463799, 0.287011, 5, -0.5
1.35, 2.79419, 1.97433, 3.12293, 1.94714, 0.489702, 0.262011, 5, -0.5
1.4, 2.9995, 2.11332, 3.30977, 2.11324, 0.513181, 0.237011, 5, -0.5
1.45, 3.20528, 2.25132, 3.49687, 2.27906, 0.534224, 0.212011, 5, -0.5
1.5, 3.41161, 2.38832, 3.68461, 2.44414, 0.552816, 0.187011, 5, -0.5
1.55, 3.61859, 2.52428, 3.87341, 2.60801, 0.568947, 0.162011, 5, -0.5
1.6, 3.82632, 2.65917, 4.06366, 2.7702, 0.582605, 0.137011, 5, -0.5
1.65, 4.03491, 2.79295, 4.25574, 2.93023, 0.593783, 0.112011, 5, -0.5
1.7, 4.24444, 2.92558, 4.45001, 3.08758, 0.602473, 0.0870108, 5, -0.5
1.75, 4.45501, 3.05699, 4.64681, 3.24174, 0.60867, 0.0620108, 5, -0.5
1.8, 4.6667, 3.18714, 4.84649, 3.39218, 0.61237, 0.0370108, 5, -0.5
1.85, 4.87957, 3.31594, 5.04932, 3.53833, 0.613571, 0.0120108, 5, -0.5
1.9, 5.09368, 3.4433, 5.25557, 3.67961, 0.612272, -0.0129892, 5, -0.5
1.95, 5.30905, 3.56913, 5.46547, 3.81541, 0.608474, -0.0379892, 5, -0.5
2, 5.52568, 3.69329, 5.67918, 3.94512, 0.602179, -0.0629892, 5, -0.5
2.05, 5.74357, 3.81565, 5.89656, 4.06861, 0.593634, -0.0855618, 5, -0.451453
2.1, 5.96266, 3.93606, 6.11641, 4.18763, 0.583906, -0.0974349, 5, -0.237461
2.15, 6.1829, 4.05435, 6.33811, 4.30317, 0.573578, -0.103464, 5, -0.120576
2.2, 6.40432, 4.17043, 6.56132, 4.41576, 0.562954, -0.106433, 5, -0.0593877
2.25, 6.62694, 4.28416, 6.78588, 4.52563, 0.552183, -0.107923, 5, -0.0297929
