t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05, 0, 0, 0.00999688, 0.000249974, 9.99896e-05, 0.025, 0.2, 0.5
0.1, 0.00670235, 0.0048257, 0.0299718, 0.00125155, 0.000499823, 0.05, 0.4, 0.5
0.15, 0.0203325, 0.0146394, 0.0598863, 0.0035144, 0.00139898, 0.075, 0.6, 0.5
0.2, 0.0411069, 0.0295969, 0.0996809, 0.00756341, 0.00299631, 0.1, 0.8, 0.5
0.25, 0.0692354, 0.049849, 0.149272, 0.0139458, 0.00548981, 0.125, 1, 0.5
0.3, 0.104923, 0.0755425, 0.208548, 0.0232376, 0.00907632, 0.15, 1.2, 0.5
0.35, 0.14837, 0.106821, 0.277365, 0.0360503, 0.0139514, 0.175, 1.4, 0.5
0.4, 0.199774, 0.143823, 0.355541, 0.0530361, 0.0203088, 0.2, 1.6, 0.5
0.45, 0.259325, 0.186684, 0.442847, 0.0748932, 0.0283406, 0.225, 1.8, 0.5
0.5, 0.327208, 0.235529, 0.538998, 0.102369, 0.0382368, 0.25, 2, 0.5
0.55, 0.403596, 0.290476, 0.643646, 0.136265, 0.0501848, 0.275, 2.2, 0.5
0.6, 0.488645, 0.351623, 0.756363, 0.177433, 0.0643698, 0.3, 2.4, 0.5
0.65, 0.582489, 0.41905, 0.876632, 0.226782, 0.0809738, 0.325, 2.6, 0.5
0.7, 0.685227, 0.492807, 1.00383, 0.285268, 0.100176, 0.35, 2.8, 0.5
0.75, 0.796917, 0.572906, 1.13721, 0.353892, 0.122152, 0.375, 3, 0.5
0.8, 0.917558, 0.659307, 1.27589, 0.433691, 0.147075, 0.4, 3.2, 0.5
0.85, 1.04707, 0.751911, 1.41882, 0.525726, 0.175113, 0.425, 3.4, 0.5
0.9, 1.1853, 0.850539, 1.56479, 0.63106, 0.206431, 0.45, 3.6, 0.5
0.95, 1.33194, 0.954919, 1.71484, 0.747607, 0.239757, 0.453937, 3.8, 0.0787357
1, 1.48674, 1.06479, 1.87076, 0.872862, 0.273616, 0.437011, 4, -0.338519
1.05, 1.64973, 1.18007, 2.03331, 1.00583, 0.307254, 0.412011, 4.2, -0.5
1.1, 1.82098, 1.3007, 2.20238, 1.14659, 0.340467, 0.387011, 4.4, -0.5
1.15, 2.00051, 1.42658, 2.37793, 1.29519, 0.373049, 0.362011, 4.6, -0.5
1.2, 2.18837, 1.55758, 2.55993, 1.45164, 0.404793, 0.337011, 4.8, -0.5
1.25, 2.3846, 1.69357, 2.7484, 1.61589, 0.435491, 0.312011, 5, -0.5
1.3, 2.58925, 1.8344, 2.94344, 1.78782, 0.464932, 0.287011, 5.2, -0.5
1.35, 2.8024, 1.97991, 3.14519, 1.96725, 0.492906, 0.262011, 5.4, -0.5
1.4, 3.02415, 2.12992, 3.35385, 2.15396, 0.519204, 0.237011, 5.6, -0.5
1.45, 3.25463, 2.28421, 3.56972, 2.34762, 0.543613, 0.212011, 5.8, -0.5
1.5, 3.49398, 2.4426, 3.79315, 2.54782, 0.565924, 0.187011, 6, -0.5
1.55, 3.74237, 2.60484, 4.02458, 2.75407, 0.585925, 0.162011, 6.2, -0.5
1.6, 4.00001, 2.77068, 4.26453, 2.96578, 0.603408, 0.137011, 6.4, -0.5
1.65, 4.26714, 2.93984, 4.51362, 3.18223, 0.618162, 0.112011, 6.6, -0.5
1.7, 4.54405, 3.11198, 4.77253, 3.40261, 0.629981, 0.0870108, 6.8, -0.5
1.75, 4.83103, 3.28675, 5.04203, 3.62594, 0.638657, 0.0620108, 7, -0.5
1.8, 5.12842, 3.46376, 5.32293, 3.85109, 0.643985, 0.0370108, 7.2, -0.5
1.85, 5.43659, 3.64252, 5.61613, 4.07677, 0.645763, 0.0120108, 7.4, -0.5
1.9, 5.75593, 3.82252, 5.92256, 4.30149, 0.643788, -0.0129892, 7.6, -0.5
1.95, 6.08685, 4.0031, 6.24316, 4.52357, 0.637864, -0.0379892, 7.8, -0.5
2, 6.42975, 4.18357, 6.57886, 4.74106, 0.627792, -0.0629892, 8, -0.5
2.05, 6.78504, 4.36308, 6.93057, 4.95178, 0.61338, -0.0879892, 8.2, -0.5
2.1, 7.15311, 4.54068, 7.29907, 5.15329, 0.594439, -0.112989, 8.4, -0.5
2.15, 7.53427, 4.71526, 7.68505, 5.34282, 0.57078, -0.137989, 8.6, -0.5
2.2, 7.92878, 4.88556, 8.08897, 5.51731, 0.54222, -0.162989, 8.8, -0.5
2.25, 8.3368, 5.05018, 8.50993, 5.67634, 0.509813, -0.181029, 9, -0.360796
