t,x,y,psi,delta,v,delta_dot
0.05, 0.00625, 0, 6.2513e-05, 0.025, 0.125, 0.5
0.1, 0.0186719, 7.76529e-07, 0.000311158, 0.05, 0.248438, 0.5
0.15, 0.0371885, 6.53811e-06, 0.0008677, 0.075, 0.370332, 0.5
0.2, 0.0617236, 2.78272e-05, 0.00185239, 0.1, 0.490703, 0.5
0.25, 0.092202, 8.42852e-05, 0.0033843, 0.125, 0.609569, 0.5
0.3, 0.128549, 0.000207296, 0.00558165, 0.15, 0.726949, 0.5
0.35, 0.170692, 0.000442523, 0.00856216, 0.175, 0.842863, 0.5
0.4, 0.218556, 0.000852357, 0.0124434, 0.2, 0.957327, 0.5
0.45, 0.27207, 0.00151828, 0.0173429, 0.225, 1.07036, 0.5
0.5, 0.33116, 0.00254318, 0.0233325, 0.248148, 1.18198, 0.462959
0.55, 0.395753, 0.00405057, 0.0304211, 0.267699, 1.29221, 0.391012
0.6, 0.465773, 0.00618132, 0.0386032, 0.2841, 1.40105, 0.328023
0.65, 0.541144, 0.00909232, 0.0478613, 0.297736, 1.50854, 0.272724
0.7, 0.621786, 0.0129549, 0.0581681, 0.308938, 1.61468, 0.224048
0.75, 0.707615, 0.0179531, 0.069488, 0.317993, 1.7195, 0.181098
0.8, 0.798546, 0.0242818, 0.0817792, 0.325149, 1.82301, 0.143119
0.85, 0.894485, 0.0321452, 0.0949947, 0.330623, 1.92522, 0.109472
0.9, 0.995336, 0.0417544, 0.109084, 0.334604, 2.02615, 0.0796165
0.95, 1.101, 0.0533261, 0.123992, 0.337258, 2.12583, 0.0530918
1, 1.21135, 0.0670803, 0.139665, 0.338733, 2.22425, 0.0295031
1.05, 1.3263, 0.0832389, 0.156045, 0.339159, 2.32145, 0.0085114
1.1, 1.4457, 0.102024, 0.173074, 0.33865, 2.41743, -0.0101763
1.15, 1.56943, 0.123655, 0.190695, 0.337309, 2.51221, -0.0268139
1.2, 1.69736, 0.148351, 0.208851, 0.335228, 2.60581, -0.0416226
1.25, 1.82934, 0.176323, 0.227486, 0.332489, 2.69824, -0.0547956
1.3, 1.96522, 0.207779, 0.246543, 0.329163, 2.78951, -0.0665024
1.35, 2.10485, 0.242918, 0.265969, 0.325319, 2.87964, -0.0768922
1.4, 2.24807, 0.281933, 0.285712, 0.321014, 2.96865, -0.0860964
1.45, 2.3947, 0.325006, 0.305719, 0.316302, 3.05654, -0.0942316
1.5, 2.54458, 0.372309, 0.325943, 0.311232, 3.14333, -0.101401
1.55, 2.69753, 0.424007, 0.346334, 0.305847, 3.22904, -0.107697
1.6, 2.85337, 0.480249, 0.366849, 0.300187, 3.31368, -0.1132
1.65, 3.01193, 0.541174, 0.387442, 0.294288, 3.39726, -0.117986
1.7, 3.17303, 0.606911, 0.408073, 0.288182, 3.47979, -0.122117
1.75, 3.33647, 0.677575, 0.428701, 0.2819, 3.56129, -0.125655
1.8, 3.50208, 0.753267, 0.449288, 0.275467, 3.64178, -0.128651
1.85, 3.66968, 0.834079, 0.469798, 0.268909, 3.72125, -0.131153
1.9, 3.83908, 0.920087, 0.490198, 0.262249, 3.79974, -0.133204
1.95, 4.01012, 1.01136, 0.510454, 0.255507, 3.87724, -0.134843
2, 4.1826, 1.10794, 0.530536, 0.248702, 3.95378, -0.136105
2.05, 4.35638, 1.20988, 0.550415, 0.241851, 4.02935, -0.137022
2.1, 4.53127, 1.31721, 0.570064, 0.234969, 4.10399, -0.137622
2.15, 4.70712, 1.42994, 0.589458, 0.228073, 4.17769, -0.137933
2.2, 4.88378, 1.54809, 0.608572, 0.221174, 4.25047, -0.137978
2.25, 5.0611, 1.67164, 0.627385, 0.214285, 4.32234, -0.137779
2.3, 5.23893, 1.80059, 0.645876, 0.207417, 4.39331, -0.137357
2.35, 5.41715, 1.93492, 0.664026, 0.200581, 4.46339, -0.136729
2.4, 5.59562, 2.07459, 0.681816, 0.193785, 4.5326, -0.135913
2.45, 5.77424, 2.21956, 0.699231, 0.187039, 4.60094, -0.134924
2.5, 5.95288, 2.3698, 0.716255, 0.18035, 4.66843, -0.133777
2.55, 6.13146, 2.52524, 0.732874, 0.173726, 4.73507, -0.132486
2.6, 6.30988, 2.68584, 0.749077, 0.167173, 4.80089, -0.131062
2.65, 6.48804, 2.85151, 0.764852, 0.160697, 4.86587, -0.129517
2.7, 6.66589, 3.0222, 0.780188, 0.154304, 4.93005, -0.127862
2.75, 6.84335, 3.19782, 0.795077, 0.147998, 4.99342, -0.126107
2.8, 7.02037, 3.3783, 0.809511, 0.141785, 5.05601, -0.124261
2.85, 7.1969, 3.56355, 0.823484, 0.135669, 5.11781, -0.122333
2.9, 7.37289, 3.75349, 0.836988, 0.129652, 5.17883, -0.12033
2.95, 7.54832, 3.94802, 0.850021, 0.123739, 5.2391, -0.118262
3, 7.72317, 4.14706, 0.862576, 0.117932, 5.29861, -0.116134
3.05, 7.89741, 4.35052, 0.874653, 0.112235, 5.35738, -0.113954
3.1, 8.07105, 4.55828, 0.886248, 0.106648, 5.41541, -0.111728
3.15, 8.24408, 4.77027, 0.89736, 0.101175, 5.47272, -0.109463
3.2, 8.4165, 4.98638, 0.907988, 0.0958169, 5.52931, -0.107163
3.25, 8.58834, 5.20651, 0.918134, 0.0905752, 5.58519, -0.104834
3.3, 8.75961, 5.43056, 0.927797, 0.0854511, 5.64038, -0.102482
3.35, 8.93034, 5.65845, 0.936979, 0.0804456, 5.69487, -0.10011
3.4, 9.10057, 5.89005, 0.945683, 0.0755594, 5.74869, -0.0977249
3.45, 9.27033, 6.12529, 0.953911, 0.0707929, 5.80183, -0.0953293
3.5, 9.43966, 6.36405, 0.961667, 0.0661465, 5.85431, -0.0929278
3.55, 9.60862, 6.60624, 0.968955, 0.0616203, 5.90613, -0.0905241
3.6, 9.77726, 6.85177, 0.97578, 0.0572142, 5.9573, -0.0881219
3.65, 9.94564, 7.10054, 0.982145, 0.052928, 6.00783, -0.0857247
3.7, 10.1138, 7.35245, 0.988058, 0.0487612, 6.05774, -0.0833355
3.75, 10.2818, 7.6074, 0.993523, 0.0447133, 6.10701, -0.0809574
3.8, 10.4498, 7.86531, 0.998546, 0.0407836, 6.15568, -0.0785933
3.85, 10.6178, 8.12608, 1.00314, 0.0369714, 6.20373, -0.0762458
3.9, 10.7858, 8.38962, 1.0073, 0.0332755, 6.25118, -0.0739174
3.95, 10.954, 8.65583, 1.01104, 0.029695, 6.29804, -0.0716104
4, 11.1225, 8.92464, 1.01437, 0.0262286, 6.34432, -0.0693269
4.05, 11.2912, 9.19594, 1.01729, 0.0228752, 6.39001, -0.067069
4.1, 11.4604, 9.46965, 1.01982, 0.0196333, 6.43514, -0.0648384
4.15, 11.63, 9.74569, 1.02196, 0.0165014, 6.4797, -0.062637
4.2, 11.8002, 10.024, 1.02372, 0.0134781, 6.5237, -0.0604662
4.25, 11.971, 10.3044, 1.0251, 0.0105617, 6.56716, -0.0583274
4.3, 12.1425, 10.5869, 1.02613, 0.00775062, 6.61007, -0.056222
4.35, 12.3148, 10.8714, 1.0268, 0.00504307, 6.65244, -0.0541512
4.4, 12.4881, 11.1578, 1.02713, 0.00243727, 6.69429, -0.0521159
4.45, 12.6623, 11.446, 1.02712, -6.85902e-05, 6.73561, -0.0501172
4.5, 12.8376, 11.736, 1.02678, -0.00247638, 6.77641, -0.0481558
4.55, 13.014, 12.0276, 1.02613, -0.004788, 6.81671, -0.0462325
4.6, 13.1916, 12.3208, 1.02517, -0.0070054, 6.8565, -0.0443478
4.65, 13.3705, 12.6156, 1.02391, -0.00913051, 6.89579, -0.0425024
4.7, 13.5508, 12.9117, 1.02236, -0.0111653, 6.9346, -0.0406966
4.75, 13.7326, 13.2092, 1.02053, -0.0131119, 6.97291, -0.0389308
4.8, 13.9159, 13.508, 1.01843, -0.0149721, 7.01075, -0.0372053
4.85, 14.1008, 13.808, 1.01607, -0.0167482, 7.04812, -0.0355201
4.9, 14.2874, 14.1092, 1.01346, -0.0184419, 7.08502, -0.0338756
4.95, 14.4757, 14.4113, 1.0106, -0.0200555, 7.12145, -0.0322717
5, 14.6659, 14.7145, 1.00751, -0.0215909, 7.15743, -0.0307083
5.05, 14.8579, 15.0186, 1.00419, -0.0230502, 7.19297, -0.0291855
5.1, 15.0519, 15.3235, 1.00066, -0.0244354, 7.22805, -0.0277031
5.15, 15.2479, 15.6292, 0.996918, -0.0257484, 7.2627, -0.0262608
5.2, 15.446, 15.9356, 0.992978, -0.0269913, 7.29692, -0.0248586
5.25, 15.6462, 16.2426, 0.988847, -0.0281661, 7.33071, -0.023496
5.3, 15.8486, 16.5502, 0.984534, -0.0292748, 7.36407, -0.0221729
5.35, 16.0532, 16.8583, 0.980048, -0.0303192, 7.39702, -0.0208887
5.4, 16.2601, 17.1669, 0.975395, -0.0313014, 7.42956, -0.0196433
5.45, 16.4693, 17.4757, 0.970584, -0.0322232, 7.46169, -0.018436
5.5, 16.681, 17.7849, 0.965624, -0.0330865, 7.49342, -0.0172665
5.55, 16.895, 18.0943, 0.960521, -0.0338932, 7.52475, -0.0161343
5.6, 17.1115, 18.4039, 0.955284, -0.0346452, 7.55569, -0.015039
5.65, 17.3305, 18.7136, 0.949919, -0.0353442, 7.58625, -0.0139799
5.7, 17.5521, 19.0234, 0.944434, -0.035992, 7.61642, -0.0129566
5.75, 17.7762, 19.3331, 0.938836, -0.0365904, 7.64621, -0.0119685
5.8, 18.0029, 19.6428, 0.933132, -0.0371412, 7.67564, -0.0110151
5.85, 18.2322, 19.9523, 0.927328, -0.037646, 7.70469, -0.0100957
5.9, 18.4642, 20.2617, 0.921431, -0.0381064, 7.73338, -0.0092098
5.95, 18.6989, 20.5708, 0.915448, -0.0385243, 7.76171, -0.00835681
6, 18.9363, 20.8796, 0.909384, -0.0389011, 7.78969, -0.00753611
6.05, 19.1763, 21.188, 0.903246, -0.0392384, 7.81732, -0.0067471
6.1, 19.4192, 21.496, 0.89704, -0.0395379, 7.84461, -0.00598917
6.15, 19.6647, 21.8036, 0.890771, -0.039801, 7.87155, -0.0052617
6.2, 19.913, 22.1107, 0.884444, -0.0400292, 7.89815, -0.00456408
6.25, 20.1641, 22.4172, 0.878066, -0.040224, 7.92443, -0.0038957
6.3, 20.418, 22.7231, 0.871641, -0.0403868, 7.95037, -0.00325594
6.35, 20.6747, 23.0283, 0.865173, -0.040519, 7.97599, -0.0026442
6.4, 20.9341, 23.3328, 0.858669, -0.040622, 8.00129, -0.00205985
6.45, 21.1963, 23.6366, 0.852133, -0.0406971, 8.02628, -0.00150229
6.5, 21.4614, 23.9396, 0.845568, -0.0407456, 8.05095, -0.000970915
6.55, 21.7292, 24.2418, 0.83898, -0.0407689, 8.07531, -0.000465132
6.6, 21.9998, 24.543, 0.832373, -0.0407681, 8.09937, 1.56597e-05
6.65, 22.2732, 24.8434, 0.82575, -0.0407445, 8.12313, 0.000472049
6.7, 22.5494, 25.1428, 0.819115, -0.0406993, 8.14659, 0.000904621
6.75, 22.8283, 25.4412, 0.812472, -0.0406336, 8.16976, 0.00131395
6.8, 23.11, 25.7386, 0.805824, -0.0405486, 8.19263, 0.00170062
6.85, 23.3945, 26.0349, 0.799175, -0.0404453, 8.21523, 0.00206519
6.9, 23.6817, 26.3302, 0.792528, -0.0403249, 8.23754, 0.00240821
6.95, 23.9716, 26.6243, 0.785886, -0.0401884, 8.25957, 0.00273025
7, 24.2642, 26.9172, 0.779251, -0.0400368, 8.28132, 0.00303184
7.05, 24.5596, 27.2089, 0.772627, -0.0398711, 8.30281, 0.00331353
7.1, 24.8576, 27.4995, 0.766015, -0.0396923, 8.32402, 0.00357584
7.15, 25.1583, 27.7887, 0.759419, -0.0395013, 8.34497, 0.00381931
7.2, 25.4617, 28.0767, 0.75284, -0.0392991, 8.36566, 0.00404444
7.25, 25.7677, 28.3634, 0.746281, -0.0390865, 8.38609, 0.00425175
7.3, 26.0763, 28.6487, 0.739744, -0.0388644, 8.40626, 0.00444173
7.35, 26.3875, 28.9327, 0.73323, -0.0386337, 8.42618, 0.00461488
7.4, 26.7012, 29.2154, 0.726741, -0.0383951, 8.44586, 0.0047717
7.45, 27.0176, 29.4966, 0.720279, -0.0381495, 8.46528, 0.00491265
7.5, 27.3364, 29.7764, 0.713845, -0.0378976, 8.48447, 0.00503821
7.55, 27.6578, 30.0548, 0.707441, -0.0376401, 8.50341, 0.00514885
7.6, 27.9816, 30.3317, 0.701067, -0.0373779, 8.52212, 0.00524502
7.65, 28.308, 30.6072, 0.694725, -0.0371115, 8.54059, 0.00532718
7.7, 28.6367, 30.8811, 0.688416, -0.0368417, 8.55883, 0.00539576
7.75, 28.9679, 31.1536, 0.68214, -0.0365692, 8.57685, 0.00545122
7.8, 29.3015, 31.4245, 0.675898, -0.0362945, 8.59464, 0.00549397
7.85, 29.6374, 31.6939, 0.669692, -0.0360183, 8.6122, 0.00552445
7.9, 29.9757, 31.9617, 0.663521, -0.0357411, 8.62955, 0.00554307
7.95, 30.3163, 32.228, 0.657385, -0.0354636, 8.64668, 0.00555025
8, 30.6592, 32.4927, 0.651286, -0.0351863, 8.6636, 0.00554638
8.05, 31.0044, 32.7558, 0.645223, -0.0349097, 8.6803, 0.00553187
8.1, 31.3518, 33.0173, 0.639196, -0.0346343, 8.6968, 0.00550712
8.15, 31.7014, 33.2772, 0.633206, -0.0343607, 8.71309, 0.00547251
8.2, 32.0533, 33.5355, 0.627252, -0.0340893, 8.72918, 0.00542842
8.25, 32.4073, 33.7921, 0.621335, -0.0338205, 8.74506, 0.00537523
8.3, 32.7635, 34.0471, 0.615453, -0.0335548, 8.76075, 0.00531332
8.35, 33.1218, 34.3004, 0.609608, -0.0332927, 8.77624, 0.00524304
8.4, 33.4822, 34.5521, 0.603797, -0.0330345, 8.79154, 0.00516476
8.45, 33.8446, 34.8021, 0.598021, -0.0327805, 8.80664, 0.00507883
8.5, 34.2092, 35.0504, 0.59228, -0.0325312, 8.82156, 0.00498561
8.55, 34.5757, 35.2971, 0.586572, -0.032287, 8.83629, 0.00488544
8.6, 34.9443, 35.542, 0.580897, -0.032048, 8.85084, 0.00477866
8.65, 35.3148, 35.7853, 0.575254, -0.0318147, 8.8652, 0.00466561
8.7, 35.6874, 36.0268, 0.569643, -0.0315874, 8.87939, 0.00454661
8.75, 36.0618, 36.2667, 0.564062, -0.0313663, 8.89339, 0.00442201
8.8, 36.4382, 36.5048, 0.55851, -0.0311517, 8.90723, 0.00429211
8.85, 36.8164, 36.7411, 0.552988, -0.0309438, 8.92089, 0.00415724
8.9, 37.1966, 36.9758, 0.547493, -0.030743, 8.93437, 0.00401772
8.95, 37.5786, 37.2086, 0.542024, -0.0305493, 8.94769, 0.00387384
9, 37.9624, 37.4398, 0.536581, -0.030363, 8.96085, 0.00372593
9.05, 38.348, 37.6691, 0.531162, -0.0301843, 8.97384, 0.00357427
9.1, 38.7355, 37.8967, 0.525766, -0.0300133, 8.98667, 0.00341916
9.15, 39.1246, 38.1226, 0.520391, -0.0298503, 8.99933, 0.0032609
9.2, 39.5156, 38.3466, 0.515038, -0.0296953, 9.01184, 0.00309978
9.25, 39.9083, 38.5689, 0.509703, -0.0295485, 9.02419, 0.00293609
9.3, 40.3027, 38.7893, 0.504386, -0.02941, 9.03639, 0.00277009
9.35, 40.6987, 39.008, 0.499086, -0.0292799, 9.04843, 0.00260207
9.4, 41.0965, 39.2248, 0.493801, -0.0291582, 9.06033, 0.00243231
9.45, 41.4959, 39.4398, 0.48853, -0.0290452, 9.07208, 0.00226106
9.5, 41.897, 39.6529, 0.48327, -0.0289408, 9.08367, 0.0020886
9.55, 42.2996, 39.8643, 0.478022, -0.028845, 9.09513, 0.00191518
9.6, 42.7039, 40.0737, 0.472783, -0.0287579, 9.10644, 0.00174106
9.65, 43.1098, 40.2813, 0.467552, -0.0286796, 9.11761, 0.00156649
9.7, 43.5172, 40.487, 0.462327, -0.02861, 9.12864, 0.00139172
9.75, 43.9262, 40.6909, 0.457107, -0.0285492, 9.13953, 0.00121698
9.8, 44.3368, 40.8928, 0.45189, -0.0284971, 9.15029, 0.00104252
9.85, 44.7489, 41.0928, 0.446676, -0.0284536, 9.16091, 0.000868577
9.9, 45.1624, 41.2909, 0.441461, -0.0284189, 9.1714, 0.000695369
9.95, 45.5775, 41.487, 0.436246, -0.0283927, 9.18175, 0.000523124
10, 45.9941, 41.6812, 0.431028, -0.0283751, 9.19198, 0.000352061
10.05, 46.4121, 41.8735, 0.425806, -0.028366, 9.20208, 0.000182394
10.1, 46.8316, 42.0637, 0.420579, -0.0283653, 9.21206, 1.43336e-05
10.15, 47.2525, 42.252, 0.415344, -0.0283729, 9.22191, -0.000151918
10.2, 47.6748, 42.4382, 0.410101, -0.0283887, 9.23163, -0.00031616
10.25, 48.0986, 42.6225, 0.404849, -0.0284126, 9.24124, -0.0004782
10.3, 48.5237, 42.8046, 0.399585, -0.0284445, 9.25072, -0.00063785
10.35, 48.9502, 42.9848, 0.394308, -0.0284842, 9.26009, -0.000794926
10.4, 49.3781, 43.1628, 0.389017, -0.0285317, 9.26934, -0.000949252
10.45, 49.8074, 43.3388, 0.383711, -0.0285867, 9.27847, -0.00110066
10.5, 50.238, 43.5126, 0.378388, -0.0286492, 9.28749, -0.00124897
10.55, 50.6699, 43.6843, 0.373047, -0.0287189, 9.29639, -0.00139404
10.6, 51.1032, 43.8539, 0.367686, -0.0287956, 9.30519, -0.00153571
10.65, 51.5378, 44.0213, 0.362305, -0.0288793, 9.31388, -0.00167382
10.7, 51.9736, 44.1865, 0.356902, -0.0289698, 9.32245, -0.00180825
10.75, 52.4108, 44.3495, 0.351476, -0.0290667, 9.33092, -0.00193885
10.8, 52.8492, 44.5103, 0.346026, -0.02917, 9.33928, -0.00206549
10.85, 53.2889, 44.6688, 0.340551, -0.0292794, 9.34754, -0.00218805
10.9, 53.7298, 44.825, 0.335049, -0.0293947, 9.3557, -0.00230642
10.95, 54.1719, 44.979, 0.32952, -0.0295157, 9.36375, -0.00242049
11, 54.6153, 45.1306, 0.323962, -0.0296422, 9.37171, -0.00253014
11.05, 55.0599, 45.2799, 0.318375, -0.029774, 9.37956, -0.00263529
11.1, 55.5057, 45.4268, 0.312758, -0.0299108, 9.38732, -0.00273584
11.15, 55.9526, 45.5713, 0.30711, -0.0300524, 9.39497, -0.00283171
11.2, 56.4008, 45.7135, 0.301429, -0.0301985, 9.40254, -0.00292283
11.25, 56.8501, 45.8532, 0.295716, -0.030349, 9.41, -0.00300912
11.3, 57.3005, 45.9904, 0.289969, -0.0305035, 9.41738, -0.00309051
11.35, 57.752, 46.1251, 0.284187, -0.0306618, 9.42466, -0.00316696
11.4, 58.2047, 46.2573, 0.278371, -0.0308238, 9.43185, -0.00323842
11.45, 58.6585, 46.387, 0.272519, -0.030989, 9.43896, -0.00330483
11.5, 59.1134, 46.5141, 0.266631, -0.0311573, 9.44597, -0.00336616
11.55, 59.5693, 46.6387, 0.260706, -0.0313284, 9.45289, -0.00342239
11.6, 60.0263, 46.7606, 0.254744, -0.0315021, 9.45973, -0.00347349
11.65, 60.4844, 46.8799, 0.248744, -0.0316781, 9.46649, -0.00351943
11.7, 60.9434, 46.9965, 0.242707, -0.0318561, 9.47316, -0.00356022
11.75, 61.4035, 47.1104, 0.236631, -0.0320359, 9.47974, -0.00359585
11.8, 61.8646, 47.2216, 0.230516, -0.0322172, 9.48624, -0.00362631
11.85, 62.3267, 47.33, 0.224363, -0.0323998, 9.49267, -0.00365163
11.9, 62.7898, 47.4357, 0.218171, -0.0325834, 9.49901, -0.0036718
11.95, 63.2538, 47.5386, 0.211939, -0.0327677, 9.50527, -0.00368686
12, 63.7187, 47.6386, 0.205668, -0.0329525, 9.51145, -0.00369683
12.05, 64.1845, 47.7358, 0.199358, -0.0331376, 9.51756, -0.00370174
