t,x,y,psi,delta,v,delta_dot
0.05, 0.0125, 0, 0.000125026, 0.025, 0.25, 0.5
0.1, 0.0371875, 3.08658e-06, 0.000619188, 0.05, 0.49375, 0.5
0.15, 0.0737578, 2.57305e-05, 0.00171836, 0.075, 0.731406, 0.5
0.2, 0.121914, 0.00010848, 0.00365105, 0.1, 0.963121, 0.5
0.25, 0.181366, 0.000325542, 0.00663924, 0.125, 1.18904, 0.5
0.3, 0.25183, 0.000793378, 0.0108992, 0.15, 1.40932, 0.5
0.35, 0.333029, 0.00167842, 0.0166422, 0.175, 1.62408, 0.5
0.4, 0.424691, 0.00320401, 0.0240755, 0.2, 1.83348, 0.5
0.45, 0.526543, 0.00565664, 0.0334029, 0.225, 2.03764, 0.5
0.5, 0.638316, 0.00939156, 0.0448253, 0.25, 2.2367, 0.5
0.55, 0.759733, 0.0148378, 0.0585422, 0.275, 2.43079, 0.5
0.6, 0.89051, 0.0225025, 0.0747515, 0.3, 2.62002, 0.5
0.65, 1.03034, 0.0329748, 0.093651, 0.325, 2.80452, 0.5
0.7, 1.17891, 0.046929, 0.115439, 0.35, 2.9844, 0.5
0.75, 1.33585, 0.0651267, 0.140268, 0.374362, 3.15979, 0.487246
0.8, 1.50075, 0.0884104, 0.167909, 0.393315, 3.3308, 0.379061
0.85, 1.67317, 0.117636, 0.198115, 0.407624, 3.49753, 0.28618
0.9, 1.85259, 0.153655, 0.230625, 0.41795, 3.66009, 0.206509
0.95, 2.03847, 0.197299, 0.265176, 0.424861, 3.81859, 0.138227
1, 2.23018, 0.249363, 0.301509, 0.428849, 3.97312, 0.0797557
1.05, 2.42707, 0.310593, 0.339368, 0.430335, 4.1238, 0.0297282
1.1, 2.62843, 0.381677, 0.378508, 0.429684, 4.2707, -0.0130337
1.15, 2.8335, 0.463232, 0.418696, 0.427206, 4.41393, -0.0495444
1.2, 3.04151, 0.555799, 0.459713, 0.423173, 4.55358, -0.0806751
1.25, 3.25166, 0.659839, 0.501354, 0.417814, 4.68974, -0.107174
1.3, 3.46311, 0.775727, 0.543426, 0.41133, 4.8225, -0.12968
1.35, 3.67503, 0.903752, 0.585755, 0.403893, 4.95194, -0.148744
1.4, 3.88661, 1.04412, 0.628175, 0.395651, 5.07814, -0.164835
1.45, 4.09703, 1.19695, 0.670538, 0.386733, 5.20119, -0.178353
1.5, 4.30548, 1.36228, 0.712706, 0.377251, 5.32116, -0.189644
1.55, 4.5112, 1.54007, 0.754553, 0.367301, 5.43813, -0.199001
1.6, 4.71346, 1.73023, 0.795966, 0.356967, 5.55217, -0.206676
1.65, 4.91157, 1.93256, 0.836841, 0.346323, 5.66337, -0.212884
1.7, 5.10487, 2.14685, 0.877082, 0.335433, 5.77179, -0.217811
1.75, 5.29277, 2.3728, 0.916606, 0.324352, 5.87749, -0.221616
1.8, 5.47473, 2.61009, 0.955334, 0.31313, 5.98055, -0.224433
1.85, 5.65027, 2.85835, 0.993197, 0.301811, 6.08104, -0.226382
1.9, 5.81897, 3.11718, 1.03013, 0.290433, 6.17901, -0.227561
1.95, 5.98044, 3.38616, 1.06609, 0.27903, 6.27454, -0.22806
2, 6.1344, 3.66485, 1.10101, 0.267632, 6.36768, -0.227952
2.05, 6.28058, 3.95279, 1.13485, 0.256267, 6.45848, -0.227304
2.1, 6.41881, 4.24952, 1.16759, 0.244959, 6.54702, -0.226173
2.15, 6.54895, 4.55459, 1.19917, 0.233728, 6.63335, -0.224607
2.2, 6.67092, 4.86754, 1.22958, 0.222596, 6.71751, -0.222653
2.25, 6.78468, 5.18792, 1.25879, 0.211578, 6.79957, -0.220347
2.3, 6.89027, 5.51529, 1.28678, 0.200692, 6.87959, -0.217726
2.35, 6.98775, 5.84924, 1.31354, 0.189951, 6.9576, -0.214819
2.4, 7.07723, 6.18934, 1.33904, 0.179368, 7.03366, -0.211656
2.45, 7.15886, 6.53523, 1.36329, 0.168955, 7.10781, -0.208263
2.5, 7.23282, 6.88654, 1.38628, 0.158722, 7.18012, -0.204663
2.55, 7.29934, 7.24292, 1.408, 0.148678, 7.25062, -0.200879
2.6, 7.35865, 7.60404, 1.42845, 0.138831, 7.31935, -0.196933
2.65, 7.41105, 7.96963, 1.44765, 0.129189, 7.38637, -0.192846
2.7, 7.45681, 8.33939, 1.46558, 0.119757, 7.45171, -0.188636
2.75, 7.49628, 8.71308, 1.48226, 0.110541, 7.51541, -0.184325
2.8, 7.52978, 9.09048, 1.4977, 0.101544, 7.57753, -0.17993
2.85, 7.55767, 9.47136, 1.51192, 0.0927708, 7.63809, -0.175473
2.9, 7.58031, 9.85555, 1.52491, 0.0842222, 7.69714, -0.170971
2.95, 7.5981, 10.2429, 1.53671, 0.0758999, 7.75471, -0.166446
3, 7.61141, 10.6332, 1.54732, 0.0678041, 7.81084, -0.161917
3.05, 7.62064, 11.0264, 1.55676, 0.0599338, 7.86557, -0.157405
3.1, 7.6262, 11.4223, 1.56504, 0.0522872, 7.91893, -0.152933
3.15, 7.62849, 11.8208, 1.5722, 0.044861, 7.97096, -0.148523
3.2, 7.62793, 12.2219, 1.57824, 0.037651, 8.02169, -0.1442
3.25, 7.62492, 12.6254, 1.58319, 0.0306515, 8.07114, -0.139991
3.3, 7.61989, 13.0314, 1.58707, 0.0238553, 8.11936, -0.135923
3.35, 7.61325, 13.4396, 1.58989, 0.0172539, 8.16638, -0.132028
3.4, 7.60541, 13.8502, 1.59167, 0.010837, 8.21222, -0.128339
3.45, 7.59679, 14.2629, 1.59242, 0.00459223, 8.25692, -0.124895
3.5, 7.58782, 14.6779, 1.59218, -0.00149449, 8.30049, -0.121734
3.55, 7.5789, 15.0949, 1.59094, -0.00743958, 8.34298, -0.118902
3.6, 7.57046, 15.5141, 1.58871, -0.0132616, 8.38441, -0.116441
3.65, 7.56291, 15.9352, 1.58551, -0.0189814, 8.4248, -0.114396
3.7, 7.55668, 16.3584, 1.58134, -0.0246216, 8.46418, -0.112803
3.75, 7.5522, 16.7835, 1.57621, -0.0302058, 8.50257, -0.111685
3.8, 7.54989, 17.2105, 1.5701, -0.0357578, 8.54001, -0.11104
3.85, 7.55019, 17.6393, 1.56301, -0.0412997, 8.57651, -0.110836
3.9, 7.55354, 18.0699, 1.55493, -0.0468499, 8.61209, -0.111005
3.95, 7.5604, 18.5022, 1.54586, -0.0524218, 8.64679, -0.111439
4, 7.57122, 18.9361, 1.53577, -0.0580218, 8.68062, -0.111999
4.05, 7.58648, 19.3715, 1.52467, -0.0636479, 8.71361, -0.112522
