t,x,y,psi,delta,v,delta_dot
0.05, 0.5, 0, 0.00500104, 0.025, 10, 0.5
0.1, 0.999994, 0.00250051, 0.0147612, 0.0487619, 10, 0.475238
0.15, 1.49994, 0.00988082, 0.0286946, 0.0695549, 10, 0.41586
0.2, 1.99973, 0.0242262, 0.0461878, 0.087244, 10, 0.353782
0.25, 2.4992, 0.0473119, 0.066611, 0.101763, 10, 0.29038
0.3, 2.99809, 0.0805927, 0.0893299, 0.11311, 10, 0.226939
0.35, 3.4961, 0.125198, 0.113718, 0.121342, 10, 0.164645
0.4, 3.99287, 0.181935, 0.139168, 0.12657, 10, 0.104564
0.45, 4.48803, 0.251295, 0.165103, 0.128952, 10, 0.0476387
0.5, 4.98123, 0.333472, 0.190983, 0.128686, 10, -0.00532568
0.55, 5.47214, 0.428384, 0.216318, 0.126003, 10, -0.0536652
0.6, 5.96049, 0.535701, 0.240669, 0.12116, 10, -0.0968601
0.65, 6.44608, 0.654877, 0.263656, 0.114433, 10, -0.134534
0.7, 6.9288, 0.785183, 0.284958, 0.106111, 10, -0.166448
0.75, 7.40864, 0.925742, 0.304315, 0.0964858, 10, -0.192498
0.8, 7.88567, 1.07556, 0.321528, 0.0858509, 10, -0.212698
0.85, 8.36004, 1.23357, 0.336454, 0.0744921, 10, -0.227176
0.9, 8.83201, 1.39864, 0.349007, 0.0626842, 10, -0.236157
0.95, 9.30186, 1.56962, 0.359153, 0.0506868, 10, -0.239948
1, 9.76996, 1.74536, 0.366905, 0.0387404, 10, -0.238929
1.05, 10.2367, 1.92473, 0.372319, 0.0270637, 10, -0.233534
1.1, 10.7024, 2.10662, 0.37549, 0.0158515, 10, -0.224243
1.15, 11.1676, 2.28998, 0.376545, 0.00527337, 10, -0.211563
1.2, 11.6326, 2.47384, 0.375639, -0.00452776, 10, -0.196023
1.25, 12.0977, 2.65727, 0.372952, -0.0134355, 10, -0.178155
1.3, 12.5633, 2.83945, 0.368679, -0.0213602, 10, -0.158493
1.35, 13.0297, 3.01964, 0.36303, -0.0282379, 10, -0.137554
1.4, 13.4971, 3.1972, 0.356221, -0.0340298, 10, -0.115838
1.45, 13.9657, 3.37157, 0.348473, -0.0387205, 10, -0.0938146
1.5, 14.4357, 3.5423, 0.340005, -0.0423165, 10, -0.0719201
1.55, 14.9071, 3.70904, 0.33103, -0.0448441, 10, -0.0505516
1.6, 15.3799, 3.87155, 0.321754, -0.0463472, 10, -0.0300627
1.65, 15.8543, 4.02967, 0.31237, -0.0468853, 10, -0.0107605
1.7, 16.3301, 4.18333, 0.303057, -0.0465305, 10, 0.00709576
1.75, 16.8073, 4.33255, 0.293978, -0.0453657, 10, 0.0232962
1.8, 17.2858, 4.47743, 0.285276, -0.0434817, 10, 0.0376797
1.85, 17.7656, 4.61814, 0.277077, -0.0409751, 10, 0.0501327
1.9, 18.2466, 4.75491, 0.269484, -0.0379457, 10, 0.0605876
1.95, 18.7285, 4.88803, 0.262582, -0.0344947, 10, 0.06902
2, 19.2114, 5.01781, 0.256436, -0.0307224, 10, 0.0754452
2.05, 19.695, 5.14463, 0.251089, -0.0267267, 10, 0.0799149
2.1, 20.1793, 5.26886, 0.246568, -0.022601, 10, 0.0825128
2.15, 20.6642, 5.3909, 0.242881, -0.0184335, 10, 0.0833504
2.2, 21.1495, 5.51115, 0.24002, -0.0143054, 10, 0.0825623
2.25, 21.6352, 5.63001, 0.237962, -0.0102903, 10, 0.0803022
2.3, 22.1211, 5.74787, 0.236671, -0.0064534, 10, 0.0767376
2.35, 22.6072, 5.86511, 0.236101, -0.00285108, 10, 0.0720464
