x,y
0,0
0.5,2.04854
1,4.08831
1.5,6.11065
2,8.10702
2.5,10.0691
3,11.989
3.5,13.8591
4,15.6723
4.5,17.4219
5,19.102
5.5,20.707
6,22.2323
6.5,23.6739
7,25.0285
7.5,26.2936
8,27.4675
8.5,28.5494
9,29.5391
9.5,30.4373
10,31.2457
10.5,31.9663
11,32.6023
11.5,33.1574
12,33.6358
12.5,34.0426
13,34.3833
13.5,34.6639
14,34.8908
14.5,35.0708
15,35.2109
15.5,35.3184
16,35.4008
16.5,35.4654
17,35.5197
17.5,35.5709
18,35.6262
18.5,35.6923
19,35.7759
19.5,35.883
20,36.0191
20.5,36.1895
21,36.3986
21.5,36.6502
22,36.9476
22.5,37.2931
23,37.6887
23.5,38.1351
24,38.6326
24.5,39.1807
25,39.7778
25.5,40.422
26,41.1103
26.5,41.8391
27,42.6041
27.5,43.4003
28,44.2224
28.5,45.064
29,45.9188
29.5,46.7797
30,47.6394
30.5,48.4903
31,49.3245
31.5,50.1341
32,50.9111
32.5,51.6475
33,52.3356
33.5,52.9676
34,53.5361
34.5,54.0342
35,54.4552
35.5,54.7929
36,55.0417
36.5,55.1967
37,55.2534
37.5,55.2083
38,55.0584
38.5,54.8015
39,54.4363
39.5,53.9623
40,53.3797
40.5,52.6897
41,51.894
41.5,50.9953
42,49.9973
42.5,48.9039
43,47.7201
43.5,46.4515
44,45.1042
44.5,43.6848
45,42.2006
45.5,40.6592
46,39.0684
46.5,37.4365
47,35.7719
47.5,34.083
48,32.3785
48.5,30.6669
49,28.9564
49.5,27.2553
50,25.5714
50.5,23.9124
51,22.2852
51.5,20.6965
52,19.1525
52.5,17.6584
53,16.2193
53.5,14.8392
54,13.5215
54.5,12.2689
55,11.0831
55.5,9.96541
56,8.91599
56.5,7.93436
57,7.01927
57.5,6.16868
58,5.37984
58.5,4.64929
59,3.97293
59.5,3.34606
60,2.76342
60.5,2.21925
61,1.7074
61.5,1.22132
62,0.7542
62.5,0.299019
63,-0.151378
63.5,-0.6042
64,-1.06663
64.5,-1.54574
65,-2.04842
65.5,-2.58131
66,-3.1507
66.5,-3.76248
67,-4.42209
67.5,-5.13442
68,-5.90376
68.5,-6.7338
69,-7.62751
69.5,-8.58717
70,-9.6143
70.5,-10.7097
71,-11.8732
71.5,-13.1041
72,-14.4008
72.5,-15.7608
73,-17.181
73.5,-18.6575
74,-20.1858
74.5,-21.7605
75,-23.3758
75.5,-25.0252
76,-26.7017
76.5,-28.398
77,-30.1063
77.5,-31.8185
78,-33.5263
78.5,-35.2212
79,-36.8947
79.5,-38.5382
80,-40.1434
80.5,-41.7018
81,-43.2056
81.5,-44.647
82,-46.0187
82.5,-47.3138
83,-48.526
83.5,-49.6495
84,-50.6793
84.5,-51.6109
85,-52.4406
85.5,-53.1656
86,-53.7835
86.5,-54.2931
87,-54.6939
87.5,-54.9861
88,-55.1709
88.5,-55.25
89,-55.2263
89.5,-55.103
90,-54.8844
90.5,-54.5752
91,-54.1809
91.5,-53.7073
92,-53.1611
92.5,-52.549
93,-51.8785
93.5,-51.157
94,-50.3924
94.5,-49.5926
95,-48.7656
95.5,-47.9194
96,-47.0617
96.5,-46.2004
97,-45.3428
97.5,-44.4961
98,-43.6669
98.5,-42.8616
99,-42.0858
99.5,-41.3446
100,-40.6427
100.5,-39.9837
101,-39.3709
101.5,-38.8066
102,-38.2924
102.5,-37.8292
103,-37.4171
103.5,-37.0553
104,-36.7424
104.5,-36.4761
105,-36.2535
105.5,-36.0709
106,-35.9241
106.5,-35.8081
107,-35.7175
107.5,-35.6463
108,-35.5882
108.5,-35.5364
109,-35.484
109.5,-35.4236
110,-35.3478
110.5,-35.2493
111,-35.1207
111.5,-34.9545
112,-34.7438
112.5,-34.4815
113,-34.1612
113.5,-33.7767
114,-33.3222
114.5,-32.7928
115,-32.1837
115.5,-31.4911
116,-30.7118
116.5,-29.8432
117,-28.8835
117.5,-27.8319
118,-26.688
118.5,-25.4526
119,-24.1271
119.5,-22.7137
120,-21.2154
120.5,-19.636
121,-17.9799
121.5,-16.2525
122,-14.4594
122.5,-12.6072
123,-10.7028
123.5,-8.75361
124,-6.76755
124.5,-4.75279
125,-2.71777
125.5,-0.671144
126,1.37836
126.5,3.42197
127,5.45096
127.5,7.45675
128,9.43098
128.5,11.3656
129,13.2528
129.5,15.0853
130,16.8565
130.5,18.5599
131,20.1901
131.5,21.742
132,23.2113
132.5,24.5947
133,25.8894
133.5,27.0933
134,28.2053
134.5,29.2251
135,30.1532
135.5,30.9908
136,31.7399
136.5,32.4032
137,32.9843
137.5,33.4873
138,33.917
138.5,34.2787
139,34.5783
139.5,34.822
140,35.0166
140.5,35.169
141,35.2864
141.5,35.3762
142,35.4458
142.5,35.5026
143,35.554
143.5,35.6072
144,35.6691
144.5,35.7463
145,35.845
145.5,35.971
146,36.1297
146.5,36.3256
147,36.5629
147.5,36.845
148,37.1746
148.5,37.5536
149,37.9833
149.5,38.4641
150,38.9957
150.5,39.577
151,40.2061
151.5,40.8803
152,41.5962
152.5,42.3499
153,43.1365
153.5,43.9507
154,44.7867
154.5,45.6379
155,46.4976
155.5,47.3586
156,48.2131
156.5,49.0537
157,49.8722
157.5,50.6608
158,51.4114
158.5,52.1161
159,52.7673
159.5,53.3574
160,53.8793
160.5,54.3262
161,54.6918
161.5,54.9704
162,55.1566
162.5,55.2459
163,55.2345
163.5,55.1191
164,54.8975
164.5,54.5679
165,54.1295
165.5,53.5824
166,52.9273
166.5,52.166
167,51.3007
167.5,50.3348
168,49.2721
168.5,48.1173
169,46.8758
169.5,45.5536
170,44.157
170.5,42.6932
171,41.1697
171.5,39.5942
172,37.9748
172.5,36.32
173,34.6381
173.5,32.9378
174,31.2276
174.5,29.5158
175,27.8107
175.5,26.1204
176,24.4524
176.5,22.814
177,21.212
177.5,19.6527
178,18.1418
178.5,16.6842
179,15.2844
179.5,13.9459
180,12.6717
180.5,11.4639
181,10.3238
181.5,9.25207
182,8.24836
182.5,7.31167
183,6.44023
183.5,5.63151
184,4.8823
184.5,4.18869
185,3.54617
185.5,2.94966
186,2.39355
186.5,1.87182
187,1.37804
187.5,0.90548
188,0.447174
188.5,-0.00399671
189,-0.455231
189.5,-0.913729
190,-1.38661
190.5,-1.88083
191,-2.40311
191.5,-2.95988
192,-3.55717
192.5,-4.20055
193,-4.89511
193.5,-5.64535
194,-6.45515
194.5,-7.32773
195,-8.2656
195.5,-9.27052
196,-10.3435
196.5,-11.4848
197,-12.6938
197.5,-13.9691
198,-15.3087
198.5,-16.7096
199,-18.1682
199.5,-19.68
200,-21.2402
200.5,-22.8428
201,-24.4818
201.5,-26.1502
202,-27.8409
202.5,-29.5462
203,-31.258
203.5,-32.9681
204,-34.6682
204.5,-36.3496
205,-38.0039
205.5,-39.6225
206,-41.1972
206.5,-42.7198
207,-44.1824
207.5,-45.5777
208,-46.8986
208.5,-48.1386
209,-49.2918
209.5,-50.3528
210,-51.317
210.5,-52.1804
211,-52.9399
211.5,-53.5931
212,-54.1382
212.5,-54.5747
213,-54.9023
213.5,-55.1221
214,-55.2356
214.5,-55.2452
215,-55.1541
215.5,-54.9662
216,-54.6861
216.5,-54.319
217,-53.8707
217.5,-53.3475
218,-52.7562
218.5,-52.104
219,-51.3984
219.5,-50.6471
220,-49.8579
220.5,-49.0389
221,-48.1981
221.5,-47.3433
222,-46.4823
222.5,-45.6227
223,-44.7717
223.5,-43.9361
224,-43.1223
224.5,-42.3362
225,-41.5832
225.5,-40.8679
226,-40.1945
226.5,-39.5663
227,-38.9859
