x,y
0,0
0.499948,0.00624967
0.999583,0.0249948
1.49859,0.0562236
1.99667,0.0999167
2.49349,0.156047
2.98876,0.224578
3.48216,0.305469
3.97339,0.398668
4.46213,0.504118
4.94808,0.621752
5.43094,0.751496
5.9104,0.89327
6.38618,1.04699
6.85796,1.21255
7.32545,1.38985
7.78837,1.57878
8.24642,1.77923
8.69931,1.99106
9.14677,2.21415
9.58851,2.44835
10.0243,2.69352
10.4537,2.94951
10.8767,3.21615
11.2928,3.49329
11.7019,3.78074
12.1037,4.07832
12.4979,4.38586
12.8844,4.70316
13.2627,5.03001
13.6328,5.36622
13.9943,5.71158
14.3471,6.06587
14.691,6.42886
15.0256,6.80034
15.3509,7.18006
15.6665,7.5678
15.9724,7.96331
16.2683,8.36634
16.554,8.77664
16.8294,9.19395
17.0943,9.61802
17.3485,10.0486
17.5918,10.4854
17.8241,10.9281
18.0454,11.3765
18.2553,11.8303
18.4538,12.2891
18.6408,12.7528
18.8161,13.2211
18.9797,13.6936
19.1314,14.17
19.2712,14.65
19.3989,15.1334
19.5145,15.6199
19.6179,16.109
19.709,16.6007
19.7878,17.0944
19.8543,17.5899
19.9083,18.087
19.9499,18.5853
19.979,19.0844
19.9957,19.5841
19.9998,20.0841
19.9915,20.584
19.9706,21.0835
19.9373,21.5824
19.8915,22.0803
19.8333,22.5769
19.7627,23.0719
19.6797,23.5649
19.5845,24.0557
19.477,24.544
19.3573,25.0295
19.2255,25.5118
19.0817,25.9907
18.926,26.4658
18.7585,26.9369
18.5792,27.4036
18.3883,27.8657
18.1859,28.3229
17.9722,28.7749
17.7472,29.2215
17.5112,29.6622
17.2642,30.0969
17.0064,30.5253
16.738,30.9472
16.4591,31.3621
16.1699,31.77
15.8707,32.1706
15.5615,32.5635
15.2425,32.9485
14.9141,33.3255
14.5763,33.6942
14.2295,34.0543
13.8737,34.4056
13.5093,34.7479
13.1364,35.081
12.7553,35.4046
12.3662,35.7187
11.9694,36.0229
11.5652,36.3171
11.1537,36.6011
10.7352,36.8747
10.31,37.1378
9.87841,37.3901
9.44061,37.6316
8.99692,37.8621
8.5476,38.0814
8.09294,38.2895
7.63322,38.486
7.16873,38.6711
6.69976,38.8444
6.22661,39.006
5.74956,39.1557
5.26892,39.2935
4.78499,39.4192
4.29806,39.5327
3.80845,39.634
3.31646,39.7231
2.8224,39.7998
2.32657,39.8642
1.82929,39.9162
1.33087,39.9557
0.831613,39.9827
0.331838,39.9972
-0.168145,39.9993
-0.668023,39.9888
-1.16748,39.9659
-1.66621,39.9305
-2.1639,39.8826
-2.66024,39.8223
-3.15491,39.7496
-3.64762,39.6646
-4.13804,39.5672
-4.62588,39.4577
-5.11082,39.336
-5.59257,39.2022
-6.07083,39.0564
-6.54529,38.8987
-7.01566,38.7291
-7.48165,38.5479
-7.94296,38.3551
-8.39931,38.1508
-8.85041,37.9352
-9.29598,37.7083
-9.73573,37.4704
-10.1694,37.2216
-10.5967,36.962
-11.0174,36.6918
-11.4312,36.4112
-11.8379,36.1203
-12.2372,35.8194
-12.6288,35.5085
-13.0125,35.188
-13.3881,34.858
-13.7553,34.5186
-14.114,34.1703
-14.4638,33.813
-14.8045,33.4471
-15.136,33.0729
-15.4581,32.6904
-15.7705,32.3
-16.073,31.902
-16.3655,31.4965
-16.6478,31.0838
-16.9197,30.6642
-17.181,30.2379
-17.4315,29.8052
-17.6712,29.3664
-17.8998,28.9217
-18.1172,28.4715
-18.3233,28.016
-18.518,27.5554
-18.7011,27.0902
-18.8724,26.6205
-19.032,26.1467
-19.1797,25.669
-19.3155,25.1878
-19.4391,24.7033
-19.5506,24.2159
-19.6499,23.7259
-19.7369,23.2335
-19.8115,22.7391
-19.8738,22.2431
-19.9237,21.7456
-19.9611,21.247
-19.986,20.7476
-19.9985,20.2478
-19.9984,19.7478
-19.9859,19.248
-19.9608,18.7486
-19.9233,18.25
-19.8733,17.7525
-19.8109,17.2565
-19.7362,16.7621
-19.6491,16.2698
-19.5497,15.7797
-19.4381,15.2924
-19.3143,14.8079
-19.1785,14.3268
-19.0307,13.8491
-18.871,13.3753
-18.6995,12.9057
-18.5163,12.4404
-18.3215,11.9799
-18.1153,11.5245
-17.8978,11.0743
-17.6691,10.6297
-17.4293,10.1909
-17.1787,9.75829
-16.9173,9.33207
-16.6453,8.91251
-16.363,8.49989
-16.0704,8.09445
-15.7678,7.69645
-15.4553,7.30614
-15.1331,6.92377
-14.8015,6.54956
-14.4607,6.18377
-14.1108,5.8266
-13.7521,5.4783
-13.3848,5.13907
-13.0091,4.80913
-12.6253,4.48868
-12.2336,4.17793
-11.8343,3.87706
-11.4276,3.58628
-11.0137,3.30574
-10.593,3.03565
-10.1656,2.77615
-9.73185,2.52742
-9.29204,2.28961
-8.84643,2.06287
-8.39528,1.84733
-7.93889,1.64315
-7.47753,1.45043
-7.01151,1.26931
-6.5411,1.09989
-6.0666,0.942288
