x,y
0,0
0.5,0.499992
1,0.999933
1.5,1.49978
2,1.99947
2.5,2.49896
3,2.9982
3.5,3.49714
4,3.99573
4.5,4.49393
5,4.99167
5.5,5.48892
6,5.98561
6.5,6.48171
7,6.97716
7.5,7.47191
8,7.96591
8.5,8.45912
9,8.95148
9.5,9.44294
10,9.93347
10.5,10.423
11,10.9115
11.5,11.3989
12,11.8851
12.5,12.3702
13,12.854
13.5,13.3366
14,13.8178
14.5,14.2976
15,14.776
15.5,15.2529
16,15.7283
16.5,16.2022
17,16.6744
17.5,17.1449
18,17.6137
18.5,18.0808
19,18.546
19.5,19.0094
20,19.4709
20.5,19.9305
21,20.388
21.5,20.8435
22,21.297
22.5,21.7483
23,22.1974
23.5,22.6443
24,23.089
24.5,23.5313
25,23.9713
25.5,24.4089
26,24.844
26.5,25.2767
27,25.7068
27.5,26.1344
28,26.5593
28.5,26.9816
29,27.4012
29.5,27.8181
30,28.2321
30.5,28.6434
31,29.0518
31.5,29.4572
32,29.8598
32.5,30.2593
33,30.6558
33.5,31.0493
34,31.4397
34.5,31.8269
35,32.2109
35.5,32.5917
36,32.9692
36.5,33.3435
37,33.7144
37.5,34.0819
38,34.4461
38.5,34.8068
39,35.164
39.5,35.5177
40,35.8678
40.5,36.2144
41,36.5573
41.5,36.8966
42,37.2322
42.5,37.564
43,37.8921
43.5,38.2164
44,38.5369
44.5,38.8536
45,39.1663
45.5,39.4752
46,39.7801
46.5,40.081
47,40.3779
47.5,40.6708
48,40.9596
48.5,41.2443
49,41.5249
49.5,41.8013
50,42.0735
50.5,42.3416
51,42.6054
51.5,42.8649
52,43.1202
52.5,43.3712
53,43.6178
53.5,43.86
54,44.0979
54.5,44.3313
55,44.5604
55.5,44.7849
56,45.005
56.5,45.2206
57,45.4317
57.5,45.6382
58,45.8402
58.5,46.0375
59,46.2303
59.5,46.4184
60,46.602
60.5,46.7808
61,46.955
61.5,47.1244
62,47.2892
62.5,47.4492
63,47.6045
63.5,47.755
64,47.9008
64.5,48.0418
65,48.1779
65.5,48.3092
66,48.4358
66.5,48.5574
67,48.6742
67.5,48.7862
68,48.8932
68.5,48.9954
69,49.0927
69.5,49.185
70,49.2725
70.5,49.355
71,49.4326
71.5,49.5052
72,49.5729
72.5,49.6356
73,49.6934
73.5,49.7462
74,49.794
74.5,49.8369
75,49.8747
75.5,49.9076
76,49.9355
76.5,49.9584
77,49.9763
77.5,49.9892
78,49.9971
78.5,50
79,49.9979
79.5,49.9908
80,49.9787
80.5,49.9616
81,49.9395
81.5,49.9124
82,49.8803
82.5,49.8433
83,49.8012
83.5,49.7542
84,49.7022
84.5,49.6452
85,49.5832
85.5,49.5163
86,49.4445
86.5,49.3677
87,49.286
87.5,49.1993
88,49.1077
88.5,49.0112
89,48.9098
89.5,48.8035
90,48.6924
90.5,48.5763
91,48.4555
91.5,48.3297
92,48.1991
92.5,48.0638
93,47.9236
93.5,47.7786
94,47.6288
94.5,47.4743
95,47.315
95.5,47.151
96,46.9823
96.5,46.8089
97,46.6308
97.5,46.448
98,46.2606
98.5,46.0685
99,45.8719
99.5,45.6707
100,45.4649
100.5,45.2545
101,45.0397
101.5,44.8203
102,44.5964
102.5,44.3681
103,44.1354
103.5,43.8982
104,43.6566
104.5,43.4107
105,43.1605
105.5,42.9059
106,42.647
106.5,42.3839
107,42.1165
107.5,41.8449
108,41.5692
108.5,41.2892
109,41.0052
109.5,40.717
110,40.4248
110.5,40.1286
111,39.8283
111.5,39.524
112,39.2158
112.5,38.9037
